epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.918320,0.427265,6.881663,0.594676,0.891430,0.881292,0.800181,0.823694,0.811767,1703,441,378,1766
2,3.753997,0.449820,6.672577,0.342781,0.940570,0.933237,0.853100,0.885728,0.869108,1817,327,245,1899
3,3.661595,0.465153,6.594465,0.129186,0.944383,0.938608,0.864507,0.883450,0.873876,1846,297,250,1895
4,3.452992,0.195136,6.597157,0.059397,0.950414,0.946679,0.867361,0.893240,0.880110,1850,293,229,1916
5,3.481385,0.167744,6.709876,0.030087,0.954568,0.951092,0.861470,0.902052,0.881294,1833,311,210,1934
6,3.507958,0.230582,6.681850,0.018752,0.956814,0.952958,0.871899,0.902428,0.886901,1862,284,209,1933
7,3.550338,0.330096,6.630202,0.013900,0.960707,0.957312,0.877145,0.907053,0.891848,1875,272,199,1942
8,3.650524,0.541325,6.535323,0.013119,0.965184,0.962435,0.884650,0.919310,0.901647,1887,257,173,1971
9,3.357389,0.163006,6.480816,0.009589,0.965735,0.963435,0.885510,0.922647,0.903697,1886,256,166,1980
10,3.387882,0.235171,6.440662,0.009772,0.967064,0.963047,0.890145,0.919664,0.904663,1904,243,172,1969
11,3.469214,0.341153,6.456968,0.006409,0.970088,0.967312,0.898190,0.926272,0.912015,1920,225,158,1985
12,3.287633,0.108523,6.419677,0.006095,0.971666,0.968708,0.902961,0.924872,0.913785,1932,213,161,1982
13,3.379719,0.212229,6.459403,0.004858,0.972782,0.969011,0.906335,0.932930,0.919440,1934,207,144,2003
14,3.290718,0.147359,6.372253,0.004801,0.973514,0.969123,0.904805,0.939832,0.921986,1932,212,129,2015
15,3.322282,0.208426,6.350016,0.004586,0.975326,0.972276,0.907315,0.932306,0.919641,1942,204,145,1997
16,3.281996,0.171386,6.321101,0.004918,0.977295,0.973426,0.914545,0.938871,0.926548,1957,188,131,2012
17,3.283739,0.235777,6.234811,0.004299,0.978767,0.976314,0.908113,0.944963,0.926171,1939,205,118,2026
18,3.369386,0.391715,6.187773,0.004329,0.979252,0.976467,0.921854,0.947688,0.934592,1975,172,112,2029
19,3.116455,0.067203,6.136304,0.004205,0.979407,0.975809,0.916329,0.950093,0.932906,1958,186,107,2037
20,3.299842,0.289114,6.193187,0.002896,0.979138,0.976043,0.919745,0.940326,0.929922,1967,176,128,2017
21,3.189865,0.179788,6.125601,0.004042,0.981757,0.978360,0.924580,0.949603,0.936924,1979,166,108,2035
22,3.163326,0.147620,6.118378,0.002674,0.982278,0.978956,0.923391,0.951869,0.937414,1979,169,103,2037
23,3.159358,0.152596,6.103272,0.003014,0.983022,0.980336,0.924477,0.949089,0.936621,1981,166,109,2032
24,3.271292,0.312330,6.104021,0.002170,0.983618,0.981571,0.920306,0.952914,0.936326,1966,177,101,2044
25,3.082089,0.084835,6.043669,0.002900,0.984361,0.982262,0.929385,0.950606,0.939876,1987,155,106,2040
26,3.229743,0.287852,6.055039,0.002424,0.985626,0.983779,0.923977,0.958469,0.940907,1976,169,89,2054
27,3.086860,0.134499,5.983700,0.002870,0.985989,0.984462,0.932849,0.957615,0.945070,1993,148,91,2056
28,3.073682,0.106908,5.996557,0.001891,0.986332,0.983599,0.935542,0.961287,0.948240,2002,142,83,2061
29,3.033786,0.091138,5.938485,0.002490,0.987330,0.985757,0.939214,0.958936,0.948973,2012,133,88,2055
30,3.004404,0.051377,5.935606,0.002122,0.986895,0.985561,0.930832,0.960354,0.945363,1991,153,85,2059
