epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.620507,0.296094,8.051282,0.118120,0.869658,0.862250,0.765297,0.816698,0.790162,1607,537,393,1751
2,4.553301,0.392117,7.936832,0.023181,0.937060,0.936871,0.854891,0.860476,0.857674,1832,313,299,1844
3,5.238226,0.699907,8.303391,0.712806,0.457251,0.466207,0.473879,0.597106,0.528403,726,1420,863,1279
4,5.219000,0.723692,8.261151,0.699411,0.492895,0.495066,0.495218,0.434296,0.462761,1192,950,1214,932
5,5.222621,0.692387,8.295537,0.697003,0.499928,0.494876,0.499225,0.450560,0.473646,1175,969,1178,966
6,5.231684,0.691980,8.312432,0.696910,0.493050,0.492347,0.496436,0.551467,0.522507,940,1201,963,1184
7,5.231893,0.697388,8.309990,0.695148,0.502175,0.499101,0.500715,0.653147,0.566862,746,1397,744,1401
8,5.232416,0.696628,8.311794,0.694892,0.492363,0.489669,0.494884,0.609142,0.546101,811,1333,838,1306
9,5.233713,0.694540,8.315184,0.695637,0.481257,0.488542,0.494590,0.447970,0.470127,1164,981,1183,960
10,5.233480,0.694222,8.315902,0.694669,0.493231,0.493853,0.494580,0.510966,0.502639,1026,1119,1048,1095
