epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.941210,0.438224,6.923553,0.506906,0.787814,0.779200,0.702234,0.718619,0.710332,1492,653,603,1540
2,3.693939,0.328626,6.930376,0.162169,0.917250,0.912466,0.837863,0.847623,0.842715,1790,352,327,1819
3,3.621559,0.293425,6.920833,0.072955,0.928139,0.925631,0.842956,0.851213,0.847064,1804,340,319,1825
4,3.574911,0.239521,6.913105,0.037584,0.934741,0.932906,0.857476,0.858275,0.857875,1837,306,304,1841
5,3.615120,0.361107,6.905994,0.029467,0.940368,0.937692,0.865546,0.864739,0.865142,1856,288,290,1854
6,3.646636,0.420086,6.921594,0.029673,0.945233,0.943616,0.867933,0.873601,0.870758,1859,285,271,1873
7,3.613713,0.354119,6.923086,0.017536,0.943890,0.942294,0.868470,0.869687,0.869078,1865,282,279,1862
8,3.609018,0.352304,6.905097,0.025913,0.947214,0.944993,0.870353,0.874008,0.872177,1866,279,270,1873
9,3.649949,0.454387,6.915067,0.017767,0.947593,0.945684,0.870878,0.874126,0.872499,1865,278,270,1875
10,3.555163,0.246225,6.892132,0.017678,0.949596,0.947433,0.868966,0.881119,0.875000,1858,285,255,1890
11,3.576622,0.259356,6.927824,0.014945,0.952890,0.950306,0.873737,0.887179,0.880407,1868,275,242,1903
12,3.564632,0.266294,6.889511,0.022265,0.951675,0.950145,0.869765,0.881119,0.875405,1860,283,255,1890
13,3.589529,0.310351,6.892553,0.031853,0.955169,0.953607,0.881230,0.882874,0.882051,1890,255,251,1892
14,3.580464,0.297937,6.910093,0.010405,0.956779,0.955204,0.887037,0.893657,0.890335,1900,244,228,1916
15,3.571383,0.254864,6.924650,0.011855,0.957485,0.955989,0.878650,0.899160,0.888786,1880,266,216,1926
16,3.592624,0.295875,6.938396,0.008460,0.958922,0.957723,0.881860,0.885154,0.883504,1892,254,246,1896
17,3.571712,0.256303,6.927055,0.009439,0.959074,0.958010,0.882979,0.889977,0.886464,1890,253,236,1909
18,3.598762,0.361957,6.895378,0.010484,0.958363,0.957085,0.881238,0.889044,0.885124,1886,257,238,1907
19,3.533164,0.184109,6.908720,0.008601,0.960822,0.960654,0.878372,0.894737,0.886479,1875,266,226,1921
20,3.552624,0.255786,6.894914,0.004754,0.960279,0.958788,0.878539,0.896970,0.887659,1877,266,221,1924
21,3.552939,0.250905,6.896403,0.007292,0.963163,0.961856,0.881810,0.891274,0.886517,1889,256,233,1910
