threshold,f1_cal
0.350000,0.899099
0.360000,0.897112
0.370000,0.898734
0.380000,0.898734
0.390000,0.899548
0.400000,0.902816
0.410000,0.901818
0.420000,0.901639
0.430000,0.899452
0.440000,0.900274
0.450000,0.900735
0.460000,0.898711
0.470000,0.897507
0.480000,0.897127
0.490000,0.898793
0.500000,0.897388
0.510000,0.895327
0.520000,0.896165
0.530000,0.895775
0.540000,0.895775
0.550000,0.896422
0.560000,0.898961
0.570000,0.900474
0.580000,0.901998
0.590000,0.900952
0.600000,0.899905
0.610000,0.899713
0.620000,0.898467
0.630000,0.900866
0.640000,0.900675
0.650000,0.900675
