threshold,f1_cal
0.350000,0.918626
0.360000,0.919164
0.370000,0.917046
0.380000,0.916058
0.390000,0.915068
0.400000,0.913083
0.410000,0.913761
0.420000,0.915441
0.430000,0.914286
0.440000,0.912281
0.450000,0.912963
0.460000,0.910946
0.470000,0.912639
0.480000,0.910448
0.490000,0.910448
0.500000,0.910112
0.510000,0.908920
0.520000,0.908749
0.530000,0.909434
0.540000,0.910293
0.550000,0.908231
0.560000,0.908918
0.570000,0.905444
0.580000,0.904398
0.590000,0.901246
0.600000,0.900866
0.610000,0.896618
0.620000,0.892578
0.630000,0.889107
0.640000,0.884501
0.650000,0.880952
