threshold,f1
0.350000,0.912963
0.360000,0.912963
0.370000,0.910946
0.380000,0.910946
0.390000,0.910946
0.400000,0.911792
0.410000,0.912639
0.420000,0.911628
0.430000,0.911628
0.440000,0.910448
0.450000,0.910448
0.460000,0.910448
0.470000,0.910448
0.480000,0.910280
0.490000,0.909261
0.500000,0.910112
0.510000,0.910965
0.520000,0.908920
0.530000,0.908920
0.540000,0.907895
0.550000,0.907895
0.560000,0.909605
0.570000,0.908577
0.580000,0.908577
0.590000,0.909434
0.600000,0.909434
0.610000,0.910293
0.620000,0.910293
0.630000,0.909263
0.640000,0.908231
0.650000,0.908231
