threshold,f1_cal
0.350000,0.893309
0.360000,0.894928
0.370000,0.895739
0.380000,0.897179
0.390000,0.896804
0.400000,0.897248
0.410000,0.897696
0.420000,0.897507
0.430000,0.898981
0.440000,0.897770
0.450000,0.896165
0.460000,0.896165
0.470000,0.897844
0.480000,0.897653
0.490000,0.899152
0.500000,0.898113
0.510000,0.897533
0.520000,0.894386
0.530000,0.888038
0.540000,0.888889
0.550000,0.887608
0.560000,0.888462
0.570000,0.887392
0.580000,0.885024
0.590000,0.882865
0.600000,0.878286
0.610000,0.875368
0.620000,0.875984
0.630000,0.874133
0.640000,0.869652
0.650000,0.866600
