threshold,f1_cal
0.350000,0.902283
0.360000,0.902930
0.370000,0.899724
0.380000,0.898711
0.390000,0.898524
0.400000,0.900185
0.410000,0.898981
0.420000,0.900650
0.430000,0.899441
0.440000,0.900935
0.450000,0.899719
0.460000,0.900563
0.470000,0.900376
0.480000,0.900188
0.490000,0.900188
0.500000,0.900188
0.510000,0.894986
0.520000,0.893939
0.530000,0.893939
0.540000,0.892891
0.550000,0.889734
0.560000,0.889524
0.570000,0.889952
0.580000,0.887392
0.590000,0.884802
0.600000,0.880859
0.610000,0.878193
0.620000,0.877712
0.630000,0.876604
0.640000,0.873016
0.650000,0.868000
