threshold,f1
0.350000,0.897196
0.360000,0.896165
0.370000,0.896165
0.380000,0.896165
0.390000,0.896165
0.400000,0.897844
0.410000,0.897844
0.420000,0.896811
0.430000,0.897653
0.440000,0.897653
0.450000,0.898496
0.460000,0.899152
0.470000,0.899152
0.480000,0.899152
0.490000,0.899152
0.500000,0.898113
0.510000,0.896878
0.520000,0.896682
0.530000,0.897533
0.540000,0.896486
0.550000,0.894386
0.560000,0.894386
0.570000,0.892278
0.580000,0.892278
0.590000,0.888889
0.600000,0.888889
0.610000,0.888889
0.620000,0.888889
0.630000,0.887824
0.640000,0.887608
0.650000,0.887608
