threshold,f1
0.350000,0.898305
0.360000,0.898113
0.370000,0.897073
0.380000,0.897073
0.390000,0.897921
0.400000,0.897921
0.410000,0.896878
0.420000,0.897727
0.430000,0.897533
0.440000,0.897533
0.450000,0.897533
0.460000,0.897533
0.470000,0.897533
0.480000,0.897533
0.490000,0.897533
0.500000,0.897533
0.510000,0.896486
0.520000,0.895437
0.530000,0.893333
0.540000,0.892278
0.550000,0.892278
0.560000,0.893130
0.570000,0.893130
0.580000,0.893130
0.590000,0.893130
0.600000,0.892073
0.610000,0.892073
0.620000,0.889952
0.630000,0.888889
0.640000,0.887824
0.650000,0.887824
