epoch,loss_train,val_loss,task_loss,cont_loss,adv_loss,auroc,val_auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,12.558600425720215,12.44861125946045,0.43238842487335205,7.59105920791626,0.04967675358057022,0.8188027330697261,0.9181095865841629,0.8091930866250016,0.7205615942028986,0.742070895522388,0.7311580882352942,1527,617,553,1591
2,12.556718826293945,12.290332794189453,0.4516403377056122,7.592713356018066,0.022220782935619354,0.9267583217363137,0.9295071382452114,0.9212611942786856,0.8382286488929056,0.8664175618869687,0.8520900321543409,1789,358,286,1855
3,12.377355575561523,12.289897918701172,0.32027795910835266,7.592016220092773,0.014679748564958572,0.9418391152671072,0.9353191000918274,0.939617233426469,0.8490566037735849,0.8823529411764706,0.8653846153846154,1810,336,252,1890
4,12.184959411621094,12.432449340820312,0.17586830258369446,7.590157508850098,0.012455749325454235,0.9480489617406453,0.9374452973670995,0.9448373365445111,0.8552158273381295,0.8863000931966449,0.8704805491990847,1820,322,244,1902
5,12.21331787109375,12.49611759185791,0.19907119870185852,7.588255405426025,0.01366137620061636,0.9542486134180022,0.9376629992215498,0.9521937313106659,0.8692098092643051,0.8923076923076924,0.8806073153899241,1855,288,231,1914
6,12.25709056854248,12.205642700195312,0.23729746043682098,7.5885210037231445,0.00790550746023655,0.9552948004845178,0.9389632796834815,0.9518371522920956,0.8682101513802315,0.9095149253731343,0.8883826879271071,1848,296,194,1950
7,12.452643394470215,12.050718307495117,0.38695916533470154,7.587902545928955,0.010362605564296246,0.9565828505990779,0.9423243167624998,0.9542584579277771,0.8687863860277654,0.9040074557315937,0.8860470427038136,1849,293,206,1940
8,12.342485427856445,12.832402229309082,0.3080124855041504,7.586133003234863,0.005609206389635801,0.9612618521624587,0.9430124112203171,0.9596120332479721,0.8742676881478143,0.9052729818012133,0.8895002292526364,1866,279,203,1940
9,12.179972648620605,12.277626991271973,0.1858258843421936,7.583206653594971,0.005971486214548349,0.9618759588333625,0.9424893196500504,0.9596898674937329,0.8728888888888889,0.9169000933706816,0.8943533697632058,1860,286,178,1964
10,12.366463661193848,12.316422462463379,0.3355616629123688,7.577838897705078,0.006857689004391432,0.9634336189852974,0.9399587480943413,0.9620610088010484,0.8768406961178046,0.9165111940298507,0.8962371721778791,1868,276,179,1965
11,12.167407035827637,12.254524230957031,0.18920740485191345,7.574494361877441,0.0029520655516535044,0.9661990300935535,0.9439456494836487,0.9630356964018253,0.8893925657298277,0.9142590866728798,0.9016544117647058,1898,244,184,1962
12,12.216690063476562,12.367409706115723,0.2305718958377838,7.569488525390625,0.006282690912485123,0.96804655913382,0.9494732462165913,0.9651048672317232,0.889237668161435,0.9244755244755245,0.9065142857142857,1896,247,162,1983
