threshold,f1
0.350000,0.899908
0.360000,0.900735
0.370000,0.898711
0.380000,0.898711
0.390000,0.898711
0.400000,0.897696
0.410000,0.897507
0.420000,0.897507
0.430000,0.899167
0.440000,0.897127
0.450000,0.897959
0.460000,0.897959
0.470000,0.898793
0.480000,0.898793
0.490000,0.897579
0.500000,0.897388
0.510000,0.896359
0.520000,0.896359
0.530000,0.895327
0.540000,0.896165
0.550000,0.896165
0.560000,0.895131
0.570000,0.895131
0.580000,0.895775
0.590000,0.895775
0.600000,0.895775
0.610000,0.895775
0.620000,0.894737
0.630000,0.895579
0.640000,0.896422
0.650000,0.897267
