threshold,f1
0.350000,0.895579
0.360000,0.895579
0.370000,0.894539
0.380000,0.896226
0.390000,0.895184
0.400000,0.897727
0.410000,0.899431
0.420000,0.899431
0.430000,0.898386
0.440000,0.899240
0.450000,0.897143
0.460000,0.896092
0.470000,0.896092
0.480000,0.895038
0.490000,0.895038
0.500000,0.893780
0.510000,0.892720
0.520000,0.892720
0.530000,0.891659
0.540000,0.891242
0.550000,0.891242
0.560000,0.889103
0.570000,0.888031
0.580000,0.888031
0.590000,0.885659
0.600000,0.885659
0.610000,0.885437
0.620000,0.882181
0.630000,0.880000
0.640000,0.878906
0.650000,0.877810
