threshold,f1
0.350000,0.881066
0.360000,0.881905
0.370000,0.880611
0.380000,0.878469
0.390000,0.878469
0.400000,0.878469
0.410000,0.879079
0.420000,0.879079
0.430000,0.879692
0.440000,0.879460
0.450000,0.879227
0.460000,0.879227
0.470000,0.878143
0.480000,0.878143
0.490000,0.878143
0.500000,0.873786
0.510000,0.873786
0.520000,0.871345
0.530000,0.871094
0.540000,0.869990
0.550000,0.868627
0.560000,0.866405
0.570000,0.865290
0.580000,0.865290
0.590000,0.866142
0.600000,0.865613
0.610000,0.867327
0.620000,0.866204
0.630000,0.865672
0.640000,0.863410
0.650000,0.863410
