threshold,f1_cal
0.350000,0.881640
0.360000,0.880374
0.370000,0.881197
0.380000,0.881197
0.390000,0.878873
0.400000,0.880527
0.410000,0.880076
0.420000,0.881517
0.430000,0.880455
0.440000,0.880455
0.450000,0.881905
0.460000,0.878469
0.470000,0.879079
0.480000,0.879460
0.490000,0.878143
0.500000,0.873786
0.510000,0.871094
0.520000,0.866405
0.530000,0.866142
0.540000,0.866204
0.550000,0.863410
0.560000,0.865135
0.570000,0.865191
0.580000,0.863774
0.590000,0.859756
0.600000,0.857728
0.610000,0.853608
0.620000,0.846473
0.630000,0.837696
0.640000,0.831224
0.650000,0.828905
