epoch,loss_train,val_loss,task_loss,cont_loss,adv_loss,auroc,val_auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,12.90060806274414,12.684894561767578,0.6788088083267212,7.592252731323242,0.06916134804487228,0.7897591158240246,0.8620394019399644,0.7571585285061274,0.6917894736842105,0.7656104380242311,0.7268303472683034,1410,732,503,1643
2,12.412605285644531,12.213683128356934,0.33919209241867065,7.59141206741333,0.025593481957912445,0.8955925644566618,0.9318515276636808,0.881975154732908,0.8058426966292135,0.8370681605975724,0.8211586901763224,1714,432,349,1793
3,12.378908157348633,12.43273639678955,0.32364600896835327,7.590477466583252,0.014316609129309654,0.9358217968765637,0.9371500313873196,0.9293252558118396,0.8459471562919839,0.8818860877684407,0.8635428571428572,1802,344,253,1889
4,12.259454727172852,12.238809585571289,0.23008590936660767,7.590808391571045,0.015469500795006752,0.9424870043628795,0.9382225809344453,0.9374363674534076,0.8557213930348259,0.8828744750349977,0.8690858980248047,1826,319,251,1892
5,12.280881881713867,12.490537643432617,0.25234392285346985,7.590424537658691,0.009121982380747795,0.9494188920138116,0.9392110020661156,0.9457577485432695,0.8640035906642729,0.8978544776119403,0.8806038426349497,1841,303,219,1925
6,12.253684997558594,12.442941665649414,0.2334514558315277,7.590225696563721,0.006873887497931719,0.9501004625891067,0.9417210703780758,0.9455514002650454,0.8582222222222222,0.9006529850746269,0.8789258079198907,1825,319,213,1931
7,12.509352684020996,12.393912315368652,0.4291621446609497,7.590506076812744,0.008438588120043278,0.9542982138409111,0.9408845348103082,0.9500062704715558,0.8680248007085917,0.9137529137529138,0.890302066772655,1845,298,185,1960
8,12.344979286193848,12.533380508422852,0.3050866723060608,7.590080261230469,0.005677363835275173,0.9551079189903269,0.9440947000269034,0.9500422754403643,0.8616407982261641,0.9058275058275058,0.8831818181818182,1831,312,202,1943
9,12.137646675109863,12.457661628723145,0.14670252799987793,7.589980125427246,0.0038275422994047403,0.9564543188906216,0.944874687480944,0.952754554130305,0.8634146341463415,0.9081156716417911,0.885201182086838,1836,308,197,1947
10,12.266128540039062,12.441435813903809,0.24615135788917542,7.589737415313721,0.0038493082392960787,0.9581433434506571,0.9442417720383822,0.95460229532473,0.8636161705908485,0.9067164179104478,0.884641638225256,1837,307,200,1944
11,12.454182624816895,12.39733600616455,0.386449933052063,7.589702606201172,0.00977231003344059,0.9579520842198327,0.9446363554838131,0.9547614677713049,0.8602197802197802,0.9119291705498602,0.8853200633340873,1824,318,189,1957
12,12.467560768127441,12.194183349609375,0.4007546305656433,7.589728832244873,0.004923568572849035,0.9569411860937849,0.9449919105750846,0.9523127031589073,0.8565823888404533,0.9165111940298507,0.8855340243352862,1815,329,179,1965
13,12.155951499938965,12.330629348754883,0.15976175665855408,7.589788913726807,0.005400969181209803,0.960122347709842,0.9452794318100294,0.9556948790880013,0.8713004484304933,0.9066728884741018,0.8886348044820489,1858,287,200,1943
14,12.2467041015625,12.652993202209473,0.2321060597896576,7.589653491973877,0.0028271705377846956,0.9636652735030018,0.9453368247363513,0.9604574495371698,0.8734676007005254,0.929636533084809,0.9006772009029346,1853,289,151,1995
