threshold,f1
0.350000,0.875465
0.360000,0.875465
0.370000,0.875465
0.380000,0.875233
0.390000,0.876636
0.400000,0.877456
0.410000,0.878049
0.420000,0.875940
0.430000,0.879245
0.440000,0.879245
0.450000,0.879245
0.460000,0.880907
0.470000,0.880682
0.480000,0.881517
0.490000,0.882353
0.500000,0.882353
0.510000,0.881292
0.520000,0.881066
0.530000,0.878932
0.540000,0.880611
0.550000,0.880383
0.560000,0.881226
0.570000,0.881226
0.580000,0.881226
0.590000,0.880153
0.600000,0.878002
0.610000,0.877767
0.620000,0.877767
0.630000,0.877767
0.640000,0.877767
0.650000,0.878613
