threshold,f1_cal
0.350000,0.886447
0.360000,0.887868
0.370000,0.888479
0.380000,0.887246
0.390000,0.887859
0.400000,0.887651
0.410000,0.889096
0.420000,0.891589
0.430000,0.894096
0.440000,0.894096
0.450000,0.895579
0.460000,0.895184
0.470000,0.899431
0.480000,0.899240
0.490000,0.896092
0.500000,0.893780
0.510000,0.891659
0.520000,0.889103
0.530000,0.885659
0.540000,0.882181
0.550000,0.877810
0.560000,0.878669
0.570000,0.873156
0.580000,0.872404
0.590000,0.871032
0.600000,0.869652
0.610000,0.863454
0.620000,0.860606
0.630000,0.857724
0.640000,0.853061
0.650000,0.848049
