epoch,loss_train,val_loss,task_loss,cont_loss,adv_loss,auroc,val_auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,12.62818717956543,12.590715408325195,0.4835261106491089,7.595005989074707,0.046995069831609726,0.782140091195461,0.8877553948576675,0.758585519744707,0.6784497444633731,0.7416201117318436,0.7086298932384342,1385,755,555,1593
2,12.447481155395508,12.319684028625488,0.3718697428703308,7.592721939086914,0.0167098306119442,0.9138606665133693,0.9322304444675608,0.9003529560133038,0.8270710728836578,0.8533395609528258,0.84,1765,382,314,1827
3,12.58189868927002,12.313117980957031,0.47648885846138,7.591275215148926,0.01778995431959629,0.9380409821586293,0.9397374273620775,0.9309010052286836,0.8427755819060166,0.8958916900093371,0.8685222901108848,1788,358,223,1919
4,12.34446907043457,12.41163444519043,0.30292755365371704,7.588723182678223,0.009803671389818192,0.9464702663956047,0.9420177562550444,0.9423247086901515,0.8511772545535318,0.8932400932400932,0.8717015468607825,1808,335,229,1916
5,12.384570121765137,12.560400009155273,0.33453449606895447,7.590004920959473,0.00713093439117074,0.9481120839030311,0.9430709407105551,0.9421495645600054,0.8487762237762237,0.9053613053613053,0.8761561019625536,1797,346,203,1942
6,12.250541687011719,12.390318870544434,0.2304810732603073,7.589854717254639,0.008077207952737808,0.9533355740541929,0.9457816199153455,0.9468705008666202,0.8608428446005267,0.9142191142191142,0.8867284648428668,1826,317,184,1961
7,12.426898002624512,12.39256477355957,0.3675439655780792,7.590409278869629,0.006130102556198835,0.9536515167336709,0.9428330583255613,0.9463371586266888,0.8615384615384616,0.9158878504672897,0.8878822197055493,1833,315,180,1960
8,12.437406539916992,12.437058448791504,0.3783546984195709,7.590056419372559,0.003384978510439396,0.9536068232822796,0.9463991706811392,0.94689385962636,0.8599735799207398,0.9117647058823529,0.8851121685927941,1828,318,189,1953
9,12.700957298278809,12.365376472473145,0.5794984698295593,7.59000301361084,0.006225926335901022,0.9610431932947145,0.9467363504948293,0.9570480003970766,0.8701986754966887,0.9201680672268907,0.8944860449285228,1852,294,171,1971
10,12.20705795288086,12.187050819396973,0.20079267024993896,7.589841842651367,0.0034101600758731365,0.9629532700927941,0.9475513688802158,0.9602997431013663,0.8763345195729537,0.919272048530098,0.8972899111819631,1867,278,173,1970
