threshold,f1
0.350000,0.877395
0.360000,0.878236
0.370000,0.876923
0.380000,0.874759
0.390000,0.874759
0.400000,0.874759
0.410000,0.875362
0.420000,0.875362
0.430000,0.875969
0.440000,0.875728
0.450000,0.875486
0.460000,0.875486
0.470000,0.874391
0.480000,0.874391
0.490000,0.874391
0.500000,0.869990
0.510000,0.868885
0.520000,0.866405
0.530000,0.866142
0.540000,0.865025
0.550000,0.863636
0.560000,0.861386
0.570000,0.860258
0.580000,0.860258
0.590000,0.861111
0.600000,0.860558
0.610000,0.862275
0.620000,0.861139
0.630000,0.860582
0.640000,0.858291
0.650000,0.858291
