threshold,f1_cal
0.350000,0.878049
0.360000,0.876764
0.370000,0.877589
0.380000,0.877589
0.390000,0.875236
0.400000,0.876894
0.410000,0.876426
0.420000,0.877863
0.430000,0.876791
0.440000,0.876791
0.450000,0.878236
0.460000,0.874759
0.470000,0.875362
0.480000,0.875728
0.490000,0.874391
0.500000,0.869990
0.510000,0.866142
0.520000,0.861386
0.530000,0.861111
0.540000,0.861139
0.550000,0.858291
0.560000,0.860020
0.570000,0.860041
0.580000,0.858596
0.590000,0.854508
0.600000,0.852425
0.610000,0.848233
0.620000,0.841004
0.630000,0.832101
0.640000,0.825532
0.650000,0.821888
