threshold,f1_cal
0.350000,0.875000
0.360000,0.875568
0.370000,0.877960
0.380000,0.874886
0.390000,0.875458
0.400000,0.872928
0.410000,0.874539
0.420000,0.873500
0.430000,0.873265
0.440000,0.873840
0.450000,0.875465
0.460000,0.876048
0.470000,0.878049
0.480000,0.879245
0.490000,0.880682
0.500000,0.882353
0.510000,0.878932
0.520000,0.881226
0.530000,0.880153
0.540000,0.877767
0.550000,0.878613
0.560000,0.878613
0.570000,0.877907
0.580000,0.874636
0.590000,0.873541
0.600000,0.870841
0.610000,0.869736
0.620000,0.866732
0.630000,0.866469
0.640000,0.863682
0.650000,0.861416
