epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.602338,0.394639,7.986069,0.064824,0.889103,0.883387,0.791072,0.802147,0.796571,1691,454,424,1719
2,4.539650,0.375028,7.927475,0.021553,0.942852,0.936583,0.862460,0.886608,0.874367,1842,303,243,1900
3,5.246625,0.703363,8.305714,0.723938,0.448855,0.449240,0.476296,0.500699,0.488193,959,1182,1072,1075
4,5.229432,0.691900,8.301634,0.704356,0.488371,0.490492,0.494431,0.476213,0.485151,1100,1044,1123,1021
5,5.233930,0.693359,8.303513,0.709973,0.491877,0.493812,0.492993,0.557576,0.523299,913,1230,949,1196
6,5.232011,0.689469,8.314543,0.697503,0.499612,0.493855,0.502564,0.502799,0.502681,1077,1067,1066,1078
7,5.231311,0.682045,8.318075,0.698899,0.490567,0.487043,0.493627,0.469683,0.481358,1111,1033,1137,1007
8,5.240842,0.708158,8.316961,0.695684,0.487696,0.483669,0.498732,0.550373,0.523282,958,1186,964,1180
9,5.238235,0.706016,8.314193,0.695442,0.490334,0.489080,0.498032,0.532243,0.514570,1000,1148,1001,1139
10,5.232544,0.693573,8.314696,0.694707,0.471919,0.479802,0.477848,0.422772,0.448626,1155,990,1237,906
