epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.384785,0.186696,7.782578,0.040708,0.805349,0.807308,0.687912,0.729944,0.708305,1434,710,579,1565
2,4.358128,0.304399,7.658456,0.017996,0.943209,0.931394,0.857398,0.897807,0.877137,1825,320,219,1924
3,4.347014,0.346462,7.609196,0.012096,0.950665,0.941967,0.872637,0.904806,0.888431,1862,283,204,1939
4,4.403636,0.350951,7.698498,0.023069,0.951383,0.942484,0.869159,0.910914,0.889547,1850,294,191,1953
5,4.483135,0.310925,7.889033,0.008502,0.956239,0.949673,0.872663,0.913753,0.892735,1857,286,185,1960
6,4.457741,0.191108,7.940390,0.009056,0.959928,0.955244,0.875609,0.922575,0.898478,1863,281,166,1978
7,4.318744,0.187007,7.695293,0.004359,0.961662,0.955497,0.877201,0.929138,0.902422,1864,279,152,1993
8,4.425117,0.239021,7.837960,0.013359,0.965637,0.961524,0.881754,0.928638,0.904589,1877,267,153,1991
9,4.424474,0.174003,7.891057,0.012184,0.964464,0.958685,0.886434,0.936071,0.910576,1888,257,137,2006
10,4.425711,0.217135,7.857725,0.012504,0.970232,0.967187,0.893143,0.934762,0.913479,1902,240,140,2006
