epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.708337,0.407772,8.057809,0.186090,0.784983,0.777789,0.678822,0.720280,0.698937,1412,731,600,1545
2,4.526927,0.365465,7.896076,0.039251,0.925167,0.920864,0.842718,0.845472,0.844092,1808,338,331,1811
3,5.245431,0.736810,8.283478,0.715907,0.448073,0.460014,0.467727,0.479720,0.473648,972,1171,1116,1029
4,5.220104,0.692822,8.286229,0.701816,0.516509,0.515315,0.517721,0.537995,0.527663,1068,1075,991,1154
5,5.227284,0.687918,8.313547,0.690539,0.501741,0.501755,0.501574,0.519814,0.510531,1035,1108,1030,1115
6,5.221485,0.694421,8.303526,0.684112,0.488087,0.490625,0.487864,0.467877,0.477662,1085,1055,1143,1005
7,5.219264,0.694652,8.309899,0.672451,0.492503,0.492329,0.496010,0.579487,0.534509,880,1263,902,1243
8,5.213776,0.684434,8.311463,0.668951,0.503303,0.502405,0.497001,0.540541,0.517857,968,1174,986,1160
9,5.208017,0.688477,8.309566,0.655883,0.495730,0.500793,0.499464,0.433830,0.464339,1209,933,1215,931
10,5.210789,0.694192,8.312018,0.653584,0.488727,0.492181,0.489951,0.420905,0.452811,1206,939,1241,902
