epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,5.155496,0.259124,8.304461,0.604971,0.834024,0.827473,0.719586,0.777985,0.747647,1494,650,476,1668
2,5.097939,0.319200,8.291578,0.295763,0.943787,0.938499,0.864260,0.881996,0.873038,1847,297,253,1891
3,4.998205,0.226848,8.222273,0.097357,0.955287,0.953001,0.878360,0.898416,0.888275,1875,267,218,1928
4,4.978580,0.397426,8.147432,0.053172,0.961222,0.958521,0.891194,0.901586,0.896360,1908,236,211,1933
5,4.918633,0.283996,8.092892,0.030490,0.965788,0.964173,0.894493,0.902007,0.898234,1917,228,210,1933
6,4.841061,0.124681,8.020520,0.019062,0.967716,0.964881,0.895359,0.919197,0.907121,1917,230,173,1968
7,4.875851,0.250980,8.037058,0.017097,0.971049,0.968196,0.896458,0.920709,0.908422,1916,228,170,1974
8,4.841977,0.108190,8.026162,0.023208,0.972276,0.968977,0.905505,0.922430,0.913889,1942,206,166,1974
9,4.799792,0.094753,7.961549,0.019559,0.974836,0.972930,0.906534,0.931469,0.918832,1937,206,147,1998
10,4.824636,0.205670,7.964449,0.024161,0.976877,0.974757,0.914091,0.937966,0.925875,1955,189,133,2011
11,4.792166,0.156692,7.932352,0.007081,0.977500,0.974646,0.915913,0.945404,0.930425,1959,186,117,2026
12,4.769165,0.111811,7.907026,0.012934,0.981690,0.979426,0.922938,0.955670,0.939019,1974,171,95,2048
13,4.872328,0.241927,8.037848,0.006169,0.982811,0.980192,0.924113,0.958993,0.941230,1973,169,88,2058
14,4.919116,0.096233,8.160137,0.018938,0.982204,0.979654,0.922078,0.960354,0.940827,1970,174,85,2059
15,4.878595,0.087605,8.099809,0.005945,0.983095,0.980031,0.925825,0.955203,0.940285,1981,164,96,2047
16,4.797266,0.154821,7.941024,0.008436,0.986116,0.983916,0.937244,0.961736,0.949332,2007,138,82,2061
17,4.774585,0.261358,7.866739,0.011349,0.987891,0.986083,0.940000,0.965453,0.952556,2014,132,74,2068
18,4.744302,0.097932,7.873408,0.003354,0.989099,0.987105,0.943887,0.965920,0.954776,2023,123,73,2069
19,4.815741,0.096253,7.992912,0.003709,0.990099,0.988602,0.944142,0.970135,0.956962,2022,123,64,2079
20,4.810598,0.164162,7.961680,0.003786,0.990876,0.989741,0.946987,0.975724,0.961140,2029,117,52,2090
21,4.702538,0.183779,7.775827,0.001431,0.991171,0.989849,0.946794,0.971082,0.958784,2027,117,62,2082
22,4.767714,0.191672,7.881837,0.001389,0.992395,0.991116,0.955748,0.977146,0.966328,2047,97,49,2095
23,4.707255,0.090199,7.814885,0.001423,0.992616,0.991645,0.949160,0.974371,0.961600,2030,112,55,2091
24,4.719504,0.080069,7.835774,0.010128,0.993134,0.992139,0.955606,0.973427,0.964434,2046,97,57,2088
25,4.672506,0.066589,7.764698,0.001846,0.992741,0.991798,0.951186,0.972481,0.961716,2037,107,59,2085
26,4.687947,0.166419,7.757242,0.001588,0.993315,0.992498,0.951901,0.970574,0.961147,2042,105,63,2078
27,4.733621,0.112004,7.851329,0.002110,0.994269,0.993439,0.959174,0.975280,0.967160,2055,89,53,2091
28,4.700950,0.106792,7.798837,0.001444,0.994738,0.993943,0.959324,0.979011,0.969067,2055,89,45,2099
29,4.708138,0.115029,7.808120,0.001303,0.995303,0.994707,0.964269,0.981810,0.972960,2066,78,39,2105
30,4.723862,0.218989,7.798732,0.004122,0.995380,0.994651,0.962152,0.983683,0.972799,2060,83,35,2110
31,4.706443,0.060926,7.822476,0.003858,0.996052,0.995473,0.965533,0.979944,0.972685,2069,75,43,2101
32,4.638804,0.111188,7.693694,0.001750,0.995909,0.995301,0.967003,0.983225,0.975046,2070,72,36,2110
33,4.639530,0.060990,7.711758,0.001382,0.996082,0.995627,0.961696,0.983675,0.972562,2060,84,35,2109
34,4.732444,0.032427,7.875580,0.003054,0.996521,0.996006,0.969167,0.981818,0.975452,2076,67,39,2106
35,4.594850,0.034191,7.646315,0.001114,0.996557,0.996119,0.966514,0.982743,0.974561,2071,73,37,2107
36,4.709181,0.019968,7.841587,0.001178,0.997369,0.997140,0.972824,0.984615,0.978684,2084,59,33,2112
37,4.672191,0.081746,7.758887,0.002549,0.996336,0.995781,0.963745,0.979935,0.971772,2066,79,43,2100
38,4.691029,0.034979,7.805482,0.003720,0.997180,0.996864,0.970548,0.983675,0.977067,2080,64,35,2109
39,4.744867,0.042711,7.893363,0.001532,0.996082,0.995575,0.959670,0.976679,0.968100,2056,88,50,2094
40,4.666822,0.077542,7.751199,0.002973,0.996657,0.996186,0.968707,0.982726,0.975666,2078,68,37,2105
41,4.667498,0.057207,7.759037,0.003171,0.997386,0.997062,0.971599,0.987430,0.979450,2078,62,27,2121
42,4.703626,0.156451,7.786890,0.001010,0.997820,0.997499,0.974608,0.985068,0.979810,2090,55,32,2111
