epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,1.824425,0.550704,8.567808,0.001204,0.876269,0.868797,0.777529,0.810168,0.793513,1647,497,407,1737
2,1.836984,0.423288,8.759200,0.000811,0.924005,0.920226,0.834239,0.857542,0.845730,1774,366,306,1842
3,1.727589,0.340682,8.296865,0.000133,0.939092,0.934167,0.846807,0.883916,0.864964,1800,343,249,1896
4,1.744442,0.310650,8.411222,0.000113,0.953617,0.950288,0.869467,0.897018,0.883028,1853,289,221,1925
5,1.758592,0.310089,8.482435,0.000146,0.956703,0.953839,0.862192,0.897531,0.879507,1833,308,220,1927
6,1.805602,0.463887,8.563271,0.000285,0.959837,0.956567,0.867673,0.911806,0.889192,1847,298,189,1954
7,1.766502,0.305240,8.526299,0.000323,0.962450,0.959469,0.875112,0.907313,0.890922,1863,278,199,1948
8,1.724222,0.120508,8.497296,0.001102,0.965043,0.962092,0.872124,0.920168,0.895502,1857,289,171,1971
9,1.782685,0.333209,8.568116,0.004033,0.960295,0.954531,0.877342,0.917444,0.896945,1869,275,177,1967
10,1.813105,0.251634,8.813715,0.000058,0.963415,0.957659,0.879486,0.926704,0.902478,1874,272,157,1985
11,1.782285,0.143603,8.765012,0.000937,0.972867,0.969040,0.898706,0.940243,0.919005,1919,227,128,2014
12,1.812787,0.271560,8.791994,0.000127,0.970885,0.966222,0.893987,0.935228,0.914143,1904,238,139,2007
13,1.699979,0.209893,8.266937,0.007689,0.975197,0.970896,0.907465,0.945505,0.926095,1934,207,117,2030
14,1.759341,0.133142,8.660707,0.000952,0.974539,0.969657,0.906924,0.942083,0.924170,1940,207,124,2017
15,1.845532,0.282169,8.945049,0.000148,0.971417,0.965369,0.901484,0.935574,0.918213,1927,219,138,2004
16,1.830220,0.286234,8.864832,0.000012,0.978352,0.975172,0.907184,0.948670,0.927464,1937,208,110,2033
17,1.780351,0.142182,8.759533,0.000014,0.981313,0.977971,0.919052,0.959384,0.938785,1965,181,87,2055
18,1.797940,0.262201,8.723878,0.001207,0.982423,0.979323,0.925056,0.954800,0.939693,1976,166,97,2049
19,1.823230,0.207416,8.908564,0.000056,0.983994,0.981221,0.925460,0.960839,0.942818,1977,166,84,2061
20,1.759251,0.148030,8.648122,0.000034,0.985443,0.982896,0.929833,0.958022,0.943717,1989,155,90,2054
21,1.767595,0.157586,8.672927,0.002487,0.984821,0.981900,0.924673,0.957496,0.940799,1980,167,91,2050
22,1.760365,0.108864,8.692451,0.000170,0.984729,0.981854,0.927640,0.961789,0.944406,1981,161,82,2064
23,1.734650,0.085757,8.587396,0.000032,0.986410,0.984336,0.931081,0.964086,0.947296,1991,153,77,2067
24,1.741141,0.045698,8.659455,0.000183,0.986502,0.983528,0.935863,0.966418,0.950895,2002,142,72,2072
25,1.736348,0.137027,8.544065,0.000216,0.987252,0.985435,0.934205,0.967336,0.950481,1999,146,70,2073
26,1.754799,0.048181,8.725370,0.000148,0.987321,0.985251,0.933483,0.968298,0.950572,1995,148,68,2077
27,1.770971,0.162032,8.692782,0.000013,0.988807,0.987260,0.939146,0.964552,0.951680,2010,134,76,2068
28,1.766494,0.178403,8.650134,0.001310,0.989313,0.987602,0.941043,0.967366,0.954023,2013,130,70,2075
29,1.828965,0.189758,8.948616,0.002150,0.983910,0.980836,0.921076,0.957576,0.938971,1967,176,91,2054
30,1.741573,0.035732,8.672132,0.000001,0.989208,0.987821,0.933213,0.965453,0.949059,1998,148,74,2068
31,1.739834,0.128395,8.570770,0.000001,0.989932,0.988426,0.942160,0.972481,0.957081,2016,128,59,2085
32,1.763508,0.071985,8.744016,0.000513,0.990900,0.989391,0.950045,0.975746,0.962724,2034,110,52,2092
33,1.729750,0.121339,8.527411,0.000000,0.991304,0.989624,0.945934,0.970629,0.958122,2024,119,63,2082
34,1.778455,0.228122,8.664151,0.000000,0.991897,0.990628,0.943567,0.975724,0.959376,2021,125,52,2090
35,1.737058,0.038352,8.646936,0.000000,0.992469,0.991896,0.945860,0.969231,0.957403,2024,119,66,2079
36,1.727239,0.089137,8.547060,0.000000,0.992634,0.991394,0.949932,0.972960,0.961308,2033,110,58,2087
37,1.745957,0.176872,8.552889,0.000009,0.992076,0.990986,0.951331,0.966418,0.958815,2038,106,72,2072
38,1.736455,0.042482,8.639792,0.000001,0.993632,0.992840,0.954133,0.980401,0.967089,2044,101,42,2101
39,1.722502,0.037325,8.575183,0.000001,0.993619,0.993085,0.957418,0.974371,0.965820,2049,93,55,2091
40,1.714857,0.082529,8.491731,0.000008,0.994284,0.993802,0.957019,0.976213,0.966520,2050,94,51,2093
41,1.715719,0.058759,8.519837,0.000000,0.993728,0.993057,0.959174,0.974825,0.966936,2054,89,54,2091
42,1.692589,0.080135,8.382804,0.000001,0.994996,0.994230,0.959324,0.979011,0.969067,2055,89,45,2099
43,1.700287,0.026621,8.474808,0.000002,0.995423,0.994790,0.961045,0.979449,0.970160,2062,85,44,2097
44,1.689728,0.042840,8.405795,0.000002,0.995022,0.994418,0.958829,0.977612,0.968129,2054,90,48,2096
45,1.695747,0.011100,8.467633,0.000000,0.995517,0.994937,0.962878,0.980401,0.971561,2064,81,42,2101
46,1.702737,0.071226,8.442252,0.000069,0.995142,0.994693,0.962316,0.975769,0.968996,2060,82,52,2094
47,1.705978,0.092107,8.437780,0.000000,0.996399,0.996088,0.964695,0.981343,0.972948,2067,77,40,2104
48,1.704007,0.070153,8.449875,0.000002,0.996164,0.995752,0.966483,0.982726,0.974537,2073,73,37,2105
49,1.699574,0.019806,8.478029,0.000011,0.996304,0.995818,0.968247,0.981343,0.974751,2075,69,40,2104
50,1.690252,0.021258,8.429995,0.000002,0.996456,0.996080,0.968349,0.983232,0.975734,2072,69,36,2111
