epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.718315,0.485537,8.058854,0.134907,0.762402,0.765761,0.683831,0.663089,0.673300,1488,657,722,1421
2,4.497943,0.279932,7.920522,0.031374,0.917355,0.911325,0.839797,0.848414,0.844084,1797,347,325,1819
3,5.108856,0.697516,7.992356,0.798356,0.486886,0.479625,0.497175,0.574091,0.532872,896,1246,914,1232
4,5.236303,0.706220,8.302589,0.704160,0.484937,0.496264,0.483780,0.480168,0.481967,1047,1098,1114,1029
5,5.198138,0.697343,8.237391,0.707536,0.502084,0.503161,0.495270,0.488796,0.492011,1079,1067,1095,1047
6,5.209919,0.693730,8.284704,0.682306,0.501942,0.499561,0.505403,0.566900,0.534388,953,1190,929,1216
7,5.230023,0.698506,8.304920,0.695978,0.499739,0.503555,0.501874,0.499534,0.500701,1081,1063,1073,1071
8,5.200153,0.692722,8.256843,0.694330,0.494174,0.484479,0.500461,0.506773,0.503597,1064,1083,1056,1085
9,5.272908,0.698358,8.365315,0.715447,0.482125,0.474614,0.496628,0.583955,0.536763,875,1269,892,1252
10,5.264155,0.695812,8.342736,0.725070,0.491614,0.496380,0.494483,0.459245,0.476213,1133,1008,1161,986
