epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.688746,0.477480,8.033334,0.111095,0.867535,0.857299,0.765042,0.812500,0.788057,1609,535,402,1742
2,4.561365,0.411773,7.934526,0.024156,0.937451,0.937237,0.856408,0.854410,0.855408,1838,307,312,1831
3,5.146476,0.701723,8.109700,0.740731,0.451089,0.457650,0.465434,0.540616,0.500216,816,1330,984,1158
4,5.123879,0.723473,7.994002,0.803231,0.495682,0.493230,0.496471,0.491612,0.494030,1072,1070,1091,1055
5,5.223292,0.694075,8.281799,0.711937,0.497987,0.493930,0.498308,0.480877,0.489437,1106,1038,1113,1031
6,5.223268,0.692075,8.292678,0.701721,0.493298,0.491112,0.493697,0.565440,0.527139,896,1245,933,1214
7,5.240232,0.698825,8.321259,0.698136,0.499360,0.494336,0.501629,0.646154,0.564792,766,1377,759,1386
8,5.227715,0.696482,8.303999,0.694196,0.495350,0.494933,0.497480,0.598414,0.543299,848,1296,861,1283
9,5.234264,0.694579,8.310559,0.701791,0.479582,0.495342,0.486045,0.430705,0.456705,1169,976,1220,923
10,5.225395,0.693637,8.296587,0.700270,0.496102,0.498396,0.492766,0.540364,0.515469,953,1192,985,1158
