epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.703648,0.496547,8.096909,0.053803,0.817549,0.818305,0.719190,0.762127,0.740036,1506,638,510,1634
2,4.526371,0.267309,7.987800,0.025585,0.917538,0.914795,0.831933,0.831157,0.831545,1784,360,362,1782
3,5.226890,0.723323,8.269258,0.706605,0.450264,0.465827,0.456845,0.429571,0.442788,1049,1095,1223,921
4,5.238296,0.699986,8.309597,0.706047,0.490898,0.490339,0.495039,0.442164,0.467110,1177,967,1196,948
5,5.223610,0.695871,8.293114,0.698510,0.496370,0.495053,0.493654,0.526365,0.509485,988,1157,1015,1128
6,5.205682,0.691006,8.273092,0.689057,0.493858,0.495302,0.495808,0.606244,0.545493,819,1323,845,1301
7,5.219508,0.710777,8.284443,0.686430,0.494863,0.494155,0.491357,0.437500,0.462867,1173,971,1206,938
8,5.215026,0.692253,8.300735,0.676217,0.494109,0.495375,0.497854,0.594872,0.542056,856,1287,869,1276
9,5.214118,0.688123,8.308433,0.669647,0.489271,0.491973,0.497314,0.518674,0.507770,1023,1123,1031,1111
10,5.212007,0.693772,8.310027,0.658590,0.490792,0.497011,0.480710,0.366138,0.415674,1296,848,1359,785
