epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.693310,0.260117,8.080743,0.263696,0.858320,0.847855,0.751564,0.784149,0.767511,1587,556,463,1682
2,4.500332,0.257865,7.937675,0.037143,0.944624,0.940182,0.861187,0.880486,0.870729,1842,304,256,1886
3,5.229848,0.717896,8.269694,0.716925,0.438899,0.459121,0.464763,0.470396,0.467563,981,1162,1136,1009
4,5.227334,0.692892,8.304745,0.695846,0.513194,0.509978,0.513956,0.497902,0.505802,1133,1010,1077,1068
5,5.211811,0.689296,8.283110,0.691834,0.503377,0.506770,0.500858,0.544522,0.521778,979,1164,977,1168
6,5.223978,0.692386,8.306874,0.687246,0.488737,0.491560,0.491550,0.473929,0.482579,1087,1053,1130,1018
7,5.229809,0.694480,8.313810,0.689394,0.498323,0.490843,0.498535,0.555245,0.525364,945,1198,954,1191
8,5.217037,0.674785,8.316444,0.678679,0.525428,0.529181,0.507944,0.536347,0.521759,1027,1115,995,1151
9,5.210338,0.692540,8.300108,0.667271,0.565629,0.537085,0.538556,0.611836,0.572862,1017,1125,833,1313
10,5.120923,0.626378,8.179230,0.680951,0.628334,0.591459,0.577739,0.762949,0.657551,950,1195,508,1635
