epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.732301,0.473810,8.077635,0.152774,0.827706,0.821776,0.734852,0.752683,0.743661,1563,582,530,1613
2,4.490347,0.273289,7.903048,0.041381,0.938999,0.930538,0.857592,0.890392,0.873684,1827,317,235,1909
3,5.268842,0.701378,8.329837,0.743624,0.465072,0.462401,0.480882,0.498136,0.489357,988,1154,1077,1069
4,5.239666,0.712104,8.311073,0.696259,0.488347,0.495345,0.493034,0.511899,0.502289,1017,1128,1046,1097
5,5.234401,0.694963,8.315017,0.696815,0.497417,0.496489,0.499310,0.507003,0.503127,1057,1089,1056,1086
6,5.232095,0.693271,8.316643,0.691940,0.504974,0.503196,0.506247,0.585548,0.543018,918,1225,889,1256
7,5.227298,0.697144,8.311174,0.684873,0.500963,0.503002,0.499511,0.476213,0.487584,1121,1023,1123,1021
8,5.223380,0.691649,8.314867,0.677922,0.507024,0.503977,0.504845,0.510976,0.507892,1074,1073,1047,1094
9,5.215806,0.691317,8.312605,0.665562,0.498933,0.500524,0.508302,0.628265,0.561952,841,1303,797,1347
10,5.212984,0.668926,8.316124,0.676198,0.541885,0.526700,0.528259,0.539823,0.533978,1106,1035,988,1159
