epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.734573,0.370671,8.942021,0.047480,0.885565,0.879096,0.790687,0.798789,0.794717,1687,454,432,1715
2,3.645782,0.292827,8.820114,0.003027,0.949160,0.944855,0.876611,0.888060,0.882298,1876,268,240,1904
3,3.580678,0.228265,8.721445,0.003973,0.959375,0.956928,0.882433,0.906294,0.894204,1884,259,201,1944
4,3.661104,0.297816,8.853195,0.003498,0.958219,0.953961,0.874383,0.908201,0.890971,1862,280,197,1949
5,3.658974,0.190150,8.956833,0.000906,0.955443,0.951871,0.873878,0.908539,0.890872,1864,281,196,1947
6,3.709311,0.312445,8.960605,0.000454,0.962399,0.959790,0.881006,0.914685,0.897530,1878,265,183,1962
7,3.675061,0.266411,8.921054,0.000373,0.966762,0.962521,0.886556,0.925840,0.905772,1890,254,159,1985
8,3.635033,0.235291,8.852141,0.000301,0.971790,0.968611,0.893238,0.936567,0.914390,1904,240,136,2008
9,3.626868,0.204963,8.862004,0.000404,0.974399,0.971290,0.903803,0.941286,0.922164,1927,215,126,2020
10,3.635759,0.180547,8.908093,0.001515,0.977226,0.973552,0.913277,0.953336,0.932877,1951,194,100,2043
