epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.742746,0.372777,8.969116,0.029941,0.883601,0.879494,0.782609,0.780420,0.781513,1678,465,471,1674
2,3.563731,0.203603,8.703592,0.004267,0.946721,0.941025,0.862870,0.883808,0.873213,1844,301,249,1894
3,3.577504,0.244991,8.697291,0.002956,0.957668,0.953619,0.874324,0.905740,0.889755,1866,279,202,1941
4,3.568226,0.289066,8.629298,0.004402,0.959419,0.953998,0.866755,0.913246,0.889394,1843,301,186,1958
5,3.594921,0.358376,8.627526,0.002802,0.966921,0.962694,0.880266,0.924546,0.901863,1871,270,162,1985
6,3.587112,0.163344,8.801584,0.005703,0.967840,0.962341,0.888790,0.929038,0.908468,1897,249,152,1990
7,3.571127,0.181452,8.745393,0.001946,0.972844,0.969776,0.897859,0.939337,0.918130,1916,229,130,2013
8,3.574286,0.207009,8.727780,0.001851,0.974962,0.968380,0.906987,0.951447,0.928685,1937,209,104,2038
9,3.535450,0.094063,8.743486,0.002152,0.980212,0.975669,0.913824,0.950070,0.931595,1953,192,107,2036
10,3.561209,0.184257,8.718057,0.001420,0.982259,0.979563,0.921657,0.953868,0.937486,1968,174,99,2047
