epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.573049,0.377581,7.954222,0.056630,0.895600,0.887926,0.800000,0.795147,0.797566,1719,426,439,1704
2,4.547668,0.414482,7.906701,0.024933,0.948211,0.941128,0.865826,0.897340,0.881302,1847,298,220,1923
3,5.131925,0.694757,8.097130,0.731725,0.426534,0.446543,0.455420,0.418724,0.436302,1066,1075,1248,899
4,5.232136,0.692393,8.299725,0.711421,0.500153,0.495255,0.504864,0.484142,0.494286,1126,1018,1106,1038
5,5.225945,0.692834,8.301826,0.696330,0.485425,0.489498,0.493547,0.517016,0.505009,1005,1138,1036,1109
6,5.231913,0.689322,8.309785,0.702672,0.499801,0.493695,0.500713,0.491138,0.495879,1094,1050,1091,1053
7,5.228756,0.678621,8.317202,0.697832,0.494396,0.490310,0.493333,0.465951,0.479252,1118,1026,1145,999
8,5.239419,0.708943,8.312534,0.697002,0.495906,0.491172,0.502238,0.523321,0.512563,1032,1112,1022,1122
9,5.227000,0.705672,8.292453,0.697197,0.495449,0.497707,0.496034,0.496729,0.496381,1068,1080,1077,1063
10,5.229260,0.693161,8.308617,0.695198,0.476420,0.483792,0.481790,0.432105,0.455597,1149,996,1217,926
