epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.652388,0.256295,8.041127,0.228869,0.867679,0.859510,0.760109,0.779953,0.769903,1615,528,472,1673
2,4.421254,0.250889,7.814172,0.021119,0.946247,0.938646,0.864914,0.890756,0.877645,1848,298,234,1908
3,5.176280,0.738930,8.180055,0.689464,0.413305,0.431966,0.447462,0.468531,0.457754,902,1241,1140,1005
4,5.202885,0.691455,8.280261,0.675173,0.510467,0.507841,0.510305,0.531002,0.520448,1050,1093,1006,1139
5,5.219509,0.690741,8.268481,0.722022,0.505907,0.504569,0.503779,0.528205,0.515703,1027,1116,1012,1133
6,5.211650,0.696621,8.288764,0.678702,0.493490,0.497013,0.496997,0.462291,0.479016,1135,1005,1155,993
7,5.227218,0.694294,8.311672,0.686733,0.489243,0.490273,0.498192,0.513753,0.505853,1033,1110,1043,1102
8,5.236012,0.683725,8.316710,0.708292,0.506250,0.505216,0.501717,0.544734,0.522341,981,1161,977,1169
9,5.209665,0.688392,8.317047,0.651024,0.499887,0.500730,0.511521,0.413793,0.457496,1294,848,1258,888
10,5.216869,0.687514,8.314146,0.669414,0.497683,0.504428,0.500573,0.407373,0.449190,1274,871,1270,873
