epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,2.745561,0.223563,6.621803,0.037071,0.877586,0.866702,0.769565,0.826331,0.796938,1616,530,372,1770
2,2.860386,0.350132,6.794042,0.013582,0.937388,0.930297,0.855072,0.880597,0.867647,1824,320,256,1888
3,2.835521,0.230515,6.854052,0.008472,0.946212,0.941564,0.862727,0.885674,0.874050,1843,302,245,1898
4,2.784012,0.076839,6.880525,0.005330,0.952244,0.948279,0.869683,0.897292,0.883272,1858,288,220,1922
5,2.859571,0.264354,6.882211,0.004727,0.958129,0.955177,0.880985,0.901119,0.890938,1883,261,212,1932
6,2.794365,0.109766,6.873940,0.004415,0.964609,0.960945,0.888637,0.915578,0.901907,1898,246,181,1963
7,2.808663,0.157008,6.862369,0.004558,0.967888,0.964284,0.893099,0.923507,0.908049,1907,237,164,1980
8,2.946407,0.474794,6.888330,0.005785,0.970793,0.967662,0.900542,0.930406,0.915231,1927,220,149,1992
9,2.758652,0.030707,6.863825,0.004196,0.971531,0.967862,0.905967,0.934701,0.920110,1936,208,140,2004
10,2.756406,0.045788,6.842604,0.005247,0.974659,0.969854,0.907817,0.937471,0.922406,1941,204,134,2009
11,2.760772,0.074653,6.825953,0.002650,0.977122,0.974262,0.908559,0.941204,0.924593,1942,203,126,2017
12,2.779468,0.180378,6.766610,0.003361,0.976562,0.973483,0.908927,0.939860,0.924135,1941,202,129,2016
13,2.740842,0.330508,6.519809,0.003575,0.978706,0.975676,0.915913,0.944963,0.930211,1958,186,118,2026
14,2.566554,0.031606,6.383235,0.003090,0.977013,0.972266,0.915766,0.947344,0.931287,1955,187,113,2033
15,2.739764,0.526654,6.321012,0.003488,0.979591,0.976428,0.922659,0.951493,0.936854,1973,171,104,2040
16,2.506685,0.070149,6.194631,0.003866,0.979193,0.976482,0.912108,0.948252,0.929829,1947,196,111,2034
17,2.589378,0.220763,6.251210,0.002944,0.980418,0.976869,0.920828,0.954312,0.937271,1967,176,98,2047
18,2.688072,0.566523,6.151799,0.003715,0.981216,0.978470,0.918276,0.952936,0.935285,1960,182,101,2045
19,2.501581,0.061748,6.190574,0.003260,0.980824,0.977359,0.919065,0.953803,0.936112,1965,180,99,2044
20,2.537462,0.220907,6.119572,0.006349,0.981986,0.978973,0.923633,0.953358,0.938260,1975,169,100,2044
21,2.441916,0.064788,6.037395,0.005212,0.980542,0.975954,0.918615,0.953336,0.935654,1964,181,100,2043
22,2.672052,0.136502,6.540130,0.006995,0.980622,0.977060,0.922662,0.957536,0.939776,1973,172,91,2052
23,2.563043,0.189693,6.216117,0.003598,0.982307,0.979869,0.921967,0.952470,0.936970,1969,173,102,2044
24,2.561157,0.177944,6.222983,0.003932,0.982174,0.978335,0.926885,0.951515,0.939038,1982,161,104,2041
25,2.479001,0.071120,6.124412,0.003941,0.981847,0.979477,0.923702,0.954291,0.938747,1975,169,98,2046
26,2.422979,0.059871,5.995830,0.003491,0.985312,0.983170,0.928119,0.957110,0.942392,1984,159,92,2053
27,2.414369,0.082991,5.951444,0.002978,0.984352,0.981684,0.926159,0.958974,0.942281,1979,164,88,2057
28,2.400757,0.145661,5.854635,0.003193,0.983807,0.980780,0.929476,0.959851,0.944419,1990,156,86,2056
29,2.413760,0.180580,5.852151,0.003338,0.983887,0.980087,0.934145,0.966402,0.950000,1999,146,72,2071
30,2.430588,0.123750,5.951357,0.002727,0.984793,0.981294,0.930957,0.961772,0.946113,1990,153,82,2063
31,2.332243,0.056845,5.771841,0.003843,0.984702,0.980808,0.928314,0.959907,0.943846,1984,159,86,2059
32,2.308173,0.037526,5.731013,0.003785,0.985269,0.982434,0.937358,0.963153,0.950081,2006,138,79,2065
33,2.356865,0.194205,5.696474,0.002970,0.985211,0.982532,0.927543,0.961736,0.944330,1984,161,82,2061
34,2.175351,0.028718,5.407712,0.003892,0.984338,0.981998,0.928346,0.960821,0.944304,1985,159,84,2060
35,2.309438,0.297346,5.474584,0.003328,0.984581,0.981874,0.927445,0.960336,0.943604,1984,161,85,2058
36,2.257776,0.045067,5.597184,0.004381,0.985509,0.982608,0.931942,0.957576,0.944585,1993,150,91,2054
37,2.312346,0.208849,5.570199,0.003634,0.986069,0.984152,0.931128,0.958489,0.944610,1992,152,89,2055
38,2.126055,0.028383,5.284866,0.003775,0.986398,0.983519,0.939119,0.964086,0.951438,2010,134,77,2067
39,2.181871,0.048543,5.404189,0.003892,0.985177,0.981782,0.932188,0.961305,0.946523,1993,150,83,2062
40,2.168366,0.086373,5.333132,0.002819,0.986658,0.984006,0.936709,0.965517,0.950895,2002,140,74,2072
41,2.363876,0.407645,5.500616,0.002855,0.986090,0.982108,0.934508,0.965469,0.949736,2000,145,74,2069
42,2.262583,0.207274,5.447689,0.002988,0.987577,0.985558,0.937443,0.964552,0.950805,2006,138,76,2068
43,2.237098,0.191547,5.399570,0.003257,0.986938,0.984383,0.939435,0.962669,0.950910,2012,133,80,2063
44,2.174237,0.146702,5.287400,0.002979,0.985760,0.982723,0.931890,0.963170,0.947272,1992,151,79,2066
45,2.365099,0.611146,5.300148,0.002905,0.986101,0.982663,0.937925,0.964136,0.950850,2004,137,77,2070
46,2.270411,0.238134,5.436246,0.003294,0.987709,0.985095,0.941097,0.969202,0.954943,2015,130,66,2077
47,2.112220,0.040525,5.238471,0.003110,0.988966,0.986542,0.945230,0.966402,0.955699,2025,120,72,2071
48,2.237267,0.131314,5.460592,0.002521,0.988372,0.986565,0.935281,0.971976,0.953275,2003,144,60,2081
49,2.142751,0.031298,5.324145,0.002871,0.988556,0.986690,0.943104,0.966418,0.954619,2019,125,72,2072
50,2.162455,0.053987,5.349771,0.004756,0.988687,0.986778,0.943115,0.974802,0.958697,2019,126,54,2089
51,2.175740,0.158980,5.278866,0.003010,0.988158,0.986110,0.939024,0.968779,0.953670,2007,135,67,2079
52,2.143104,0.146584,5.209594,0.003160,0.988793,0.986740,0.938517,0.967832,0.952949,2007,136,69,2076
53,2.231156,0.154426,5.422029,0.002869,0.988961,0.987066,0.945305,0.968706,0.956863,2027,120,67,2074
54,2.286644,0.126478,5.588437,0.003390,0.989583,0.988147,0.944040,0.968269,0.956001,2022,123,68,2075
55,2.138557,0.027059,5.317654,0.003361,0.989957,0.988237,0.947273,0.972015,0.959484,2028,116,60,2084
56,2.176812,0.117727,5.322870,0.002866,0.989295,0.987276,0.941739,0.965920,0.953676,2018,128,73,2069
57,2.105065,0.090714,5.170192,0.003513,0.989169,0.987182,0.945150,0.972481,0.958621,2023,121,59,2085
58,2.222630,0.009150,5.546047,0.002756,0.989666,0.988088,0.944368,0.965951,0.955038,2022,122,73,2071
59,2.183521,0.151516,5.306085,0.002404,0.990356,0.988717,0.944671,0.971096,0.957701,2021,122,62,2083
60,2.329869,0.407630,5.415484,0.003114,0.990739,0.989357,0.948952,0.971082,0.959889,2032,112,62,2082
61,2.187816,0.183296,5.284313,0.003858,0.991115,0.989558,0.948998,0.971562,0.960147,2031,112,61,2084
62,2.156635,0.080970,5.309173,0.002888,0.990400,0.988878,0.945380,0.969655,0.957363,2026,120,65,2077
63,2.217291,0.147589,5.394004,0.003265,0.990862,0.989252,0.948276,0.973905,0.960920,2028,114,56,2090
64,2.109789,0.087841,5.183343,0.006577,0.991195,0.989939,0.948952,0.970629,0.959668,2031,112,63,2082
65,2.123592,0.092795,5.214555,0.003261,0.991494,0.990142,0.952860,0.971082,0.961885,2041,103,62,2082
66,2.061346,0.035556,5.115784,0.004051,0.990580,0.989095,0.945983,0.971562,0.958602,2024,119,61,2084
67,2.061710,0.032938,5.119729,0.003215,0.991502,0.990512,0.947727,0.972028,0.959724,2028,115,60,2085
68,2.078948,0.020645,5.174562,0.004324,0.992323,0.991418,0.949795,0.971976,0.960757,2037,110,60,2081
69,1.949921,0.011474,4.861531,0.003596,0.992297,0.991045,0.950707,0.971096,0.960793,2035,108,62,2083
70,1.976173,0.094610,4.844475,0.002693,0.992089,0.991114,0.945958,0.972002,0.958803,2026,119,60,2083
71,2.078655,0.279595,4.915586,0.002916,0.993095,0.992093,0.951730,0.976179,0.963800,2041,106,51,2090
72,2.070448,0.169377,5.005328,0.002828,0.991324,0.990274,0.946770,0.970616,0.958544,2027,117,63,2081
73,2.024268,0.003041,5.055973,0.003310,0.992276,0.991286,0.948636,0.973868,0.961087,2032,113,56,2087
74,2.068652,0.180674,4.988965,0.003980,0.994124,0.993591,0.958010,0.979011,0.968397,2052,92,45,2099
75,2.013341,0.068404,4.963006,0.003886,0.993514,0.992854,0.955169,0.974790,0.964880,2048,98,54,2088
76,2.057899,0.113179,5.030077,0.002984,0.993320,0.992023,0.955809,0.979001,0.967266,2048,97,45,2098
77,1.970987,0.016650,4.909260,0.003115,0.992986,0.991856,0.952077,0.972041,0.961955,2037,105,60,2086
78,1.960152,0.068069,4.831081,0.002462,0.994339,0.993974,0.958998,0.981352,0.970046,2053,90,40,2105
79,1.985241,0.076760,4.884403,0.003879,0.993851,0.993174,0.954856,0.976679,0.965644,2045,99,50,2094
80,2.030928,0.176689,4.899144,0.002973,0.994167,0.993765,0.951408,0.978515,0.964771,2040,107,46,2095
81,1.942997,0.005229,4.850702,0.003123,0.993774,0.992995,0.955333,0.976701,0.965899,2044,98,50,2096
82,1.964201,0.105345,4.803879,0.002559,0.993820,0.993014,0.956284,0.980392,0.968188,2050,96,42,2100
83,2.024394,0.205540,4.853446,0.003996,0.994311,0.993703,0.954897,0.978068,0.966344,2046,99,47,2096
84,1.972482,0.064250,4.865775,0.002362,0.995822,0.995454,0.963795,0.981335,0.972486,2066,79,40,2103
85,1.989913,0.084906,4.888666,0.002422,0.995056,0.994743,0.957437,0.976202,0.966728,2052,93,51,2092
86,2.004477,0.044157,4.965831,0.002408,0.993533,0.993129,0.954608,0.971082,0.962775,2045,99,62,2082
87,2.005410,0.056737,4.955661,0.002253,0.994606,0.994335,0.953552,0.976679,0.964977,2042,102,50,2094
88,2.123108,0.259430,5.047184,0.002309,0.995438,0.995215,0.960623,0.978545,0.969501,2058,86,46,2098
89,2.028620,0.014668,5.055069,0.003628,0.994664,0.994220,0.957097,0.978535,0.967697,2051,94,46,2097
90,2.042888,0.033812,5.072101,0.002613,0.993961,0.993143,0.961944,0.978089,0.969949,2060,83,47,2098
91,2.110659,0.101812,5.173562,0.002547,0.995930,0.995659,0.963370,0.980886,0.972049,2063,80,41,2104
92,2.070064,0.004142,5.168782,0.004473,0.995214,0.994873,0.958923,0.979487,0.969096,2053,90,44,2101
93,2.109787,0.074951,5.198424,0.002184,0.994975,0.994578,0.958848,0.978535,0.968591,2055,90,46,2097
