epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.921541,0.378049,8.940584,0.622048,0.838188,0.832167,0.743669,0.780420,0.761601,1566,577,471,1674
2,4.783872,0.250184,8.934307,0.471965,0.939328,0.935823,0.855852,0.883808,0.869605,1826,319,249,1894
3,4.611808,0.193811,8.805554,0.244546,0.951665,0.947268,0.871171,0.901212,0.885937,1856,286,212,1934
4,4.641298,0.304864,8.792184,0.106004,0.949631,0.943071,0.865428,0.890858,0.877959,1847,297,234,1910
5,4.557143,0.222552,8.773409,0.048842,0.961474,0.957916,0.887563,0.902473,0.894956,1900,245,209,1934
6,4.500944,0.198829,8.706449,0.028464,0.961037,0.957498,0.882916,0.903075,0.892882,1885,257,208,1938
7,4.451948,0.182505,8.637466,0.018204,0.967343,0.964098,0.893974,0.920243,0.906918,1910,234,171,1973
8,4.450997,0.223031,8.580743,0.015014,0.964673,0.961996,0.883394,0.908539,0.895790,1888,257,196,1947
9,4.406406,0.199047,8.526617,0.012549,0.968375,0.965361,0.895092,0.927671,0.911091,1912,233,155,1988
10,4.279026,0.232407,8.225986,0.011158,0.969863,0.966208,0.897634,0.920672,0.909007,1920,225,170,1973
11,4.514873,0.232112,8.699866,0.008201,0.971267,0.967247,0.897840,0.930070,0.913671,1916,227,150,1995
12,4.601719,0.359545,8.694079,0.009991,0.974185,0.970990,0.906194,0.941698,0.923605,1935,209,125,2019
13,4.335474,0.110718,8.511445,0.007498,0.974593,0.971184,0.900535,0.942137,0.920867,1922,223,124,2019
14,4.438511,0.194486,8.600957,0.006307,0.973512,0.970360,0.903707,0.933240,0.918236,1933,213,143,1999
15,4.445729,0.283768,8.490079,0.006840,0.975574,0.971225,0.901552,0.948228,0.924301,1922,222,111,2033
16,4.395348,0.140076,8.591043,0.005910,0.977697,0.974430,0.912578,0.952514,0.932118,1944,196,102,2046
17,4.326129,0.143225,8.446930,0.008024,0.979333,0.976363,0.912422,0.952425,0.931995,1948,196,102,2042
18,4.373625,0.075596,8.636362,0.008422,0.979958,0.976657,0.916141,0.949089,0.932324,1961,186,109,2032
19,4.374933,0.149149,8.536053,0.008343,0.981277,0.978373,0.917937,0.954757,0.935985,1961,183,97,2047
20,4.331894,0.219175,8.352567,0.007295,0.981958,0.979260,0.915216,0.957964,0.936102,1957,190,90,2051
21,4.364255,0.076164,8.617977,0.006506,0.975211,0.971768,0.901339,0.941259,0.920867,1922,221,126,2019
22,4.362257,0.182725,8.465843,0.004757,0.984100,0.981788,0.922974,0.961736,0.941956,1973,172,82,2061
23,4.406491,0.139789,8.613818,0.005766,0.984481,0.982387,0.922247,0.956643,0.939130,1970,173,93,2052
24,4.297208,0.086321,8.471246,0.003868,0.985707,0.983896,0.920125,0.962652,0.940908,1967,179,80,2062
25,4.496394,0.328107,8.531607,0.003053,0.987718,0.986121,0.935164,0.968298,0.951443,1999,144,68,2077
26,4.441981,0.187118,8.619829,0.003614,0.986805,0.984903,0.933183,0.964536,0.948600,1997,148,76,2067
27,4.476653,0.243947,8.609623,0.003596,0.987747,0.986403,0.932792,0.963204,0.947754,1992,149,79,2068
28,4.488958,0.219161,8.669108,0.003304,0.987575,0.985970,0.935018,0.965517,0.950023,1998,144,74,2072
29,4.401652,0.183377,8.544976,0.002666,0.985662,0.983467,0.926241,0.966869,0.946119,1980,165,71,2072
30,4.422685,0.229025,8.523184,0.002584,0.990318,0.989237,0.942482,0.971069,0.956562,2018,127,62,2081
31,4.356191,0.141024,8.513538,0.002351,0.989673,0.988527,0.938821,0.972507,0.955367,2006,136,59,2087
32,4.316498,0.129760,8.449977,0.002258,0.991312,0.990435,0.945799,0.977591,0.961433,2026,120,48,2094
33,4.229203,0.030501,8.414180,0.002544,0.992606,0.991795,0.950023,0.976190,0.962929,2036,110,51,2091
34,4.305332,0.096966,8.473516,0.002328,0.992807,0.991985,0.950589,0.978992,0.964581,2037,109,45,2097
35,4.367964,0.103659,8.589398,0.002347,0.992959,0.992235,0.948753,0.975291,0.961839,2030,113,53,2092
36,4.278456,0.036830,8.504045,0.002175,0.993185,0.992693,0.945446,0.977622,0.961265,2022,121,48,2097
37,4.343671,0.113955,8.526573,0.002051,0.992727,0.992167,0.944721,0.972481,0.958400,2022,122,59,2085
38,4.257092,0.039075,8.458426,0.001754,0.994879,0.994466,0.956818,0.983645,0.970046,2053,95,35,2105
39,4.335055,0.181261,8.415180,0.001939,0.994085,0.993695,0.954049,0.977622,0.965692,2042,101,48,2097
40,4.274882,0.068334,8.452961,0.001893,0.993459,0.993082,0.947440,0.976190,0.961600,2030,116,51,2091
41,4.317432,0.097464,8.497230,0.001975,0.995636,0.995398,0.960437,0.984615,0.972376,2056,87,33,2112
42,4.279985,0.028186,8.519409,0.001834,0.993813,0.992691,0.952229,0.975758,0.963850,2038,105,52,2093
43,4.263970,0.059124,8.444192,0.001622,0.996319,0.996101,0.959091,0.984142,0.971455,2054,90,34,2110
44,4.250627,0.058336,8.418669,0.001525,0.996840,0.996626,0.963877,0.983668,0.973672,2066,79,35,2108
45,4.292565,0.108591,8.432240,0.001437,0.997541,0.997396,0.968435,0.986946,0.977603,2074,69,28,2117
46,4.261332,0.082707,8.405951,0.001539,0.997293,0.997190,0.965186,0.982743,0.973885,2068,76,37,2107
47,4.217385,0.039818,8.378151,0.001457,0.997559,0.997446,0.970575,0.985528,0.977994,2082,64,31,2111
48,4.241039,0.068767,8.384867,0.001563,0.996729,0.996433,0.964727,0.982734,0.973648,2068,77,37,2106
49,4.182470,0.034152,8.316216,0.001516,0.997270,0.996921,0.972070,0.989744,0.980827,2082,61,22,2123
50,4.270788,0.079985,8.428680,0.001527,0.997527,0.997408,0.967565,0.986493,0.976937,2070,71,29,2118
51,4.231037,0.033372,8.414419,0.001557,0.997866,0.997710,0.968421,0.987401,0.977819,2076,69,27,2116
52,4.282043,0.008349,8.551413,0.001642,0.998028,0.997930,0.975150,0.987418,0.981246,2088,54,27,2119
53,4.380746,0.072781,8.658404,0.001991,0.996549,0.996279,0.962540,0.982743,0.972536,2062,82,37,2107
54,4.184719,0.082098,8.253591,0.001519,0.996032,0.995721,0.965041,0.979001,0.971971,2069,76,45,2098
55,4.131372,0.059977,8.177975,0.001338,0.997439,0.997325,0.968807,0.984157,0.976422,2074,68,34,2112
56,4.247758,0.065457,8.402716,0.001935,0.997367,0.997083,0.971967,0.986934,0.979393,2084,61,28,2115
57,4.284423,0.080981,8.454195,0.002129,0.997650,0.997533,0.966590,0.985534,0.975970,2072,73,31,2112
