epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.600008,0.401374,7.977396,0.063645,0.886381,0.878997,0.782310,0.796547,0.789364,1670,475,436,1707
2,4.532794,0.399576,7.896346,0.019990,0.943006,0.936693,0.855665,0.888007,0.871537,1824,321,240,1903
3,5.179060,0.700783,8.195710,0.712133,0.457962,0.454180,0.473456,0.456917,0.465039,1050,1091,1166,981
4,5.224703,0.691779,8.295933,0.701279,0.490660,0.489870,0.494436,0.476679,0.485395,1099,1045,1122,1022
5,5.226758,0.692486,8.300314,0.699932,0.491887,0.493490,0.492550,0.554779,0.521815,917,1226,955,1190
6,5.229365,0.689150,8.314390,0.692667,0.500077,0.495624,0.499766,0.498601,0.499183,1074,1070,1075,1069
7,5.229795,0.683495,8.315454,0.697444,0.489591,0.487592,0.492300,0.447295,0.468719,1155,989,1185,959
8,5.237436,0.706139,8.313346,0.694667,0.491775,0.488401,0.500000,0.538246,0.518419,990,1154,990,1154
9,5.239986,0.706667,8.315697,0.696706,0.493402,0.491434,0.492346,0.465888,0.478752,1120,1028,1143,997
10,5.233560,0.694002,8.313001,0.698215,0.474965,0.481064,0.476471,0.453570,0.464738,1077,1068,1171,972
