epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.771264,0.423459,8.862782,0.144837,0.889428,0.888147,0.805594,0.805219,0.805407,1725,417,418,1728
2,4.801718,0.473141,8.906087,0.058250,0.938990,0.936640,0.864890,0.864082,0.864486,1858,289,291,1850
3,4.478353,0.258366,8.574128,0.034774,0.949700,0.948255,0.874534,0.874942,0.874738,1876,269,268,1875
4,4.671836,0.329016,8.868665,0.023975,0.953027,0.951113,0.874597,0.884382,0.879462,1871,272,248,1897
5,4.532936,0.200210,8.778567,0.011686,0.957576,0.954025,0.879945,0.892257,0.886058,1883,261,231,1913
6,4.526628,0.167951,8.813358,0.007944,0.959007,0.956742,0.883105,0.901212,0.892066,1886,256,212,1934
7,4.608316,0.280925,8.812976,0.017269,0.960392,0.958158,0.877082,0.909430,0.892964,1873,273,194,1948
8,4.629426,0.421085,8.664717,0.007691,0.964619,0.962199,0.885637,0.917444,0.901260,1890,254,177,1967
9,4.588460,0.185458,8.910881,0.010664,0.965810,0.962725,0.885417,0.912273,0.898644,1892,253,188,1955
10,4.550220,0.216475,8.794866,0.004183,0.967662,0.966145,0.880738,0.912780,0.896473,1879,265,187,1957
11,4.461116,0.107047,8.769123,0.005406,0.967554,0.964664,0.880053,0.923543,0.901274,1873,270,164,1981
12,4.584151,0.292824,8.756068,0.003800,0.970997,0.969349,0.885612,0.924440,0.904610,1888,256,162,1982
13,4.687100,0.393691,8.821183,0.003083,0.972908,0.971622,0.890022,0.936101,0.912480,1896,248,137,2007
14,4.577073,0.226281,8.834392,0.004937,0.975953,0.974427,0.891832,0.943044,0.916723,1901,245,122,2020
15,4.514500,0.251996,8.672432,0.006290,0.973639,0.971586,0.888053,0.937850,0.912273,1895,253,133,2007
16,4.408629,0.068398,8.718780,0.004538,0.978841,0.977675,0.899645,0.944082,0.921328,1916,226,120,2026
17,4.499841,0.135731,8.798117,0.019234,0.980380,0.978852,0.905694,0.948300,0.926507,1929,212,111,2036
18,4.401584,0.108135,8.645427,0.010588,0.980180,0.978703,0.910308,0.951493,0.930445,1943,201,104,2040
19,4.468343,0.065571,8.839568,0.008865,0.981660,0.980917,0.912162,0.944937,0.928260,1950,195,118,2025
20,4.487901,0.111348,8.818701,0.002023,0.983823,0.982955,0.921338,0.950117,0.935506,1969,174,107,2038
21,4.457196,0.070596,8.812459,0.005163,0.984906,0.983951,0.923982,0.952425,0.937988,1976,168,102,2042
22,4.516403,0.172880,8.790275,0.000834,0.985639,0.984277,0.926464,0.952403,0.939254,1983,162,102,2041
23,4.408039,0.046006,8.745651,0.010032,0.986184,0.985257,0.925926,0.957496,0.941447,1983,164,91,2050
24,4.482461,0.190425,8.695739,0.004314,0.985504,0.984259,0.926431,0.951937,0.939010,1983,162,103,2040
25,4.449363,0.136715,8.706695,0.001050,0.989481,0.989074,0.938210,0.963153,0.950518,2008,136,79,2065
26,4.414706,0.060215,8.742295,0.004690,0.988346,0.987238,0.934635,0.959459,0.946884,1998,144,87,2059
27,4.413041,0.140913,8.623283,0.009201,0.990215,0.989465,0.939671,0.960299,0.949873,2015,132,85,2056
28,4.413368,0.059158,8.741953,0.003270,0.990594,0.989929,0.938664,0.963619,0.950978,2009,135,78,2066
29,4.652439,0.386551,8.762671,0.001724,0.991084,0.990585,0.944545,0.970121,0.957163,2024,122,64,2078
30,4.425693,0.174393,8.605936,0.002165,0.991317,0.990537,0.946673,0.967396,0.956922,2024,117,70,2077
31,4.359459,0.183046,8.449636,0.021696,0.992498,0.991995,0.947513,0.968735,0.958006,2030,115,67,2076
32,4.350047,0.085716,8.577403,0.004483,0.992348,0.991917,0.951264,0.965469,0.958314,2039,106,74,2069
33,4.291576,0.030787,8.538079,0.003286,0.992080,0.990888,0.948135,0.970657,0.959264,2027,114,63,2084
34,4.598666,0.314381,8.754439,0.004599,0.992136,0.991256,0.950345,0.964986,0.957609,2038,108,75,2067
35,4.265646,0.026822,8.492695,0.001743,0.994254,0.994056,0.954650,0.971562,0.963031,2044,99,61,2084
36,4.293038,0.016616,8.560995,0.003031,0.994206,0.993756,0.956024,0.973868,0.964864,2049,96,56,2087
37,4.362927,0.087862,8.602283,0.000941,0.994011,0.993567,0.955087,0.972469,0.963699,2047,98,59,2084
38,4.330575,0.062335,8.571163,0.004529,0.992867,0.992061,0.955566,0.974311,0.964847,2050,97,55,2086
39,4.414190,0.144725,8.624732,0.001721,0.994727,0.994141,0.958371,0.976690,0.967444,2052,91,50,2095
40,4.411827,0.213805,8.522449,0.003130,0.995058,0.994765,0.960938,0.975280,0.968056,2059,85,53,2091
41,4.326952,0.063070,8.564884,0.001202,0.995830,0.995523,0.961538,0.979935,0.970649,2061,84,43,2100
42,4.409923,0.079324,8.707186,0.002678,0.995255,0.994775,0.960369,0.972469,0.966381,2059,86,59,2084
43,4.387745,0.059111,8.690866,0.003114,0.995288,0.994885,0.960605,0.977167,0.968815,2056,86,49,2097
44,4.301180,0.001736,8.598830,0.001833,0.995683,0.995519,0.957281,0.971562,0.964368,2050,93,61,2084
45,4.343842,0.006613,8.677165,0.002103,0.995125,0.994722,0.962282,0.975746,0.968967,2062,82,52,2092
