epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.672333,0.430729,8.748337,0.003533,0.872108,0.863754,0.768885,0.797203,0.782788,1629,514,435,1710
2,3.453603,0.238539,8.393594,0.003747,0.943153,0.937965,0.862289,0.883232,0.872635,1845,302,250,1891
3,3.548228,0.304797,8.565489,0.000568,0.946938,0.942484,0.860413,0.894123,0.876944,1833,311,227,1917
4,3.593721,0.252011,8.732127,0.000328,0.955147,0.951073,0.869799,0.905449,0.887266,1850,291,203,1944
5,3.650664,0.316990,8.809277,0.000786,0.962075,0.960067,0.876390,0.920168,0.897745,1868,278,171,1971
6,3.591680,0.314127,8.651403,0.027336,0.962331,0.960247,0.869854,0.916084,0.892371,1849,294,180,1965
7,3.641867,0.342360,8.762185,0.000248,0.965132,0.962435,0.874834,0.923436,0.898478,1863,283,164,1978
8,3.559392,0.212172,8.686157,0.000299,0.968359,0.966534,0.872073,0.937092,0.903414,1847,295,135,2011
9,3.629436,0.187208,8.886218,0.000328,0.971897,0.970894,0.889543,0.916511,0.902826,1900,244,179,1965
10,3.611628,0.185167,8.843709,0.000386,0.970271,0.968057,0.881556,0.941204,0.910404,1874,271,126,2017
11,3.638793,0.280758,8.816197,0.000051,0.975989,0.973018,0.906025,0.940271,0.922830,1936,209,128,2015
12,3.963588,0.244846,9.663014,0.002221,0.980588,0.978258,0.915771,0.952914,0.933973,1955,188,101,2044
13,3.673573,0.196464,8.987309,0.000322,0.978572,0.975989,0.911699,0.949137,0.930041,1948,197,109,2034
14,3.685130,0.231243,8.981563,0.000040,0.982728,0.980694,0.918641,0.957596,0.937714,1960,182,91,2055
15,3.640269,0.145469,8.955104,0.000201,0.986233,0.984549,0.931787,0.957477,0.944457,1998,150,91,2049
16,3.627378,0.167744,8.900543,0.000315,0.988421,0.986772,0.933244,0.971096,0.951793,1994,149,62,2083
17,3.592315,0.080085,8.900571,0.000262,0.989220,0.987930,0.941016,0.966900,0.953782,2013,130,71,2074
18,3.558023,0.042053,8.852217,0.001573,0.991009,0.989948,0.945701,0.973905,0.959596,2022,120,56,2090
19,3.735437,0.095903,9.241419,0.002543,0.989907,0.988958,0.939846,0.968765,0.954086,2010,133,67,2078
20,3.665962,0.187100,8.977638,0.000333,0.991561,0.990662,0.943285,0.970135,0.956522,2020,125,64,2079
21,3.631878,0.123015,8.956194,0.000971,0.993118,0.992420,0.950864,0.974813,0.962690,2036,108,54,2090
22,3.649972,0.085592,9.038937,0.000801,0.992650,0.991719,0.948846,0.976246,0.962351,2028,113,51,2096
23,3.496267,0.348490,8.390185,0.003982,0.991623,0.989820,0.947921,0.969173,0.958430,2033,114,66,2075
24,3.655075,0.145851,8.991805,0.000059,0.982064,0.979424,0.923490,0.961341,0.942036,1970,171,83,2064
25,3.657424,0.162445,8.980919,0.000391,0.990236,0.989281,0.937840,0.963636,0.950563,2006,137,78,2067
26,3.652825,0.065588,9.065275,0.002398,0.992393,0.991521,0.950206,0.971055,0.960517,2037,109,62,2080
27,3.630095,0.066801,9.008423,0.000029,0.994701,0.994185,0.957195,0.980410,0.968664,2050,94,42,2102
28,3.617396,0.033604,9.009882,0.000009,0.995413,0.995083,0.959781,0.979935,0.969753,2057,88,43,2100
29,3.636414,0.080586,9.010445,0.000006,0.994467,0.994019,0.957437,0.974837,0.966059,2049,93,54,2092
30,3.624537,0.050658,9.010664,0.000038,0.996674,0.996309,0.967018,0.985528,0.976185,2074,72,31,2111
31,3.612936,0.021428,9.010889,0.000045,0.996565,0.996433,0.965883,0.977601,0.971707,2071,74,48,2095
32,3.634674,0.075819,9.010856,0.000021,0.997008,0.996898,0.965009,0.976246,0.970595,2065,76,51,2096
33,3.621257,0.042104,9.011014,0.000049,0.996753,0.996563,0.964646,0.981776,0.973136,2071,77,39,2101
34,3.621894,0.043788,9.010932,0.000032,0.997081,0.996944,0.966452,0.982251,0.974288,2074,73,38,2103
35,3.646379,0.105178,9.010720,0.000097,0.997569,0.997462,0.970520,0.983201,0.976820,2081,64,36,2107
36,3.639487,0.087024,9.010367,0.002651,0.997951,0.997886,0.972312,0.981827,0.977046,2082,60,39,2107
37,3.620122,0.040354,9.009875,0.000154,0.997171,0.997038,0.970302,0.976190,0.973237,2082,64,51,2091
38,3.633328,0.076521,9.006713,0.000175,0.998000,0.997959,0.973757,0.986474,0.980074,2087,57,29,2115
39,3.625326,0.086173,8.976965,0.000353,0.997143,0.996326,0.970087,0.982751,0.976378,2078,65,37,2108
40,3.790070,0.320701,9.133801,0.041346,0.997128,0.997022,0.972209,0.980383,0.976279,2087,60,42,2099
41,3.614506,0.070824,8.964427,0.002031,0.992392,0.991872,0.946818,0.971549,0.959024,2027,117,61,2083
42,3.598656,0.152910,8.843514,0.000429,0.995964,0.995557,0.967816,0.979981,0.973861,2070,70,43,2105
43,3.606653,0.015292,9.000896,0.000887,0.997278,0.997069,0.970074,0.983201,0.976593,2080,65,36,2107
44,3.640809,0.144339,8.957463,0.000437,0.998318,0.998265,0.978231,0.986455,0.982326,2100,47,29,2112
45,3.508336,0.031981,8.738424,0.000868,0.997284,0.997120,0.973611,0.981335,0.977458,2088,57,40,2103
46,3.535479,0.120277,8.717982,0.000878,0.997481,0.997414,0.971824,0.980429,0.976108,2081,61,42,2104
47,3.368950,0.100101,8.306805,0.030936,0.997675,0.997580,0.972337,0.982759,0.977520,2082,60,37,2109
48,3.630790,0.102341,8.974530,0.000207,0.994525,0.994210,0.958180,0.973389,0.965725,2055,91,57,2085
49,3.587599,0.031194,8.937799,0.000008,0.995830,0.995658,0.961804,0.975268,0.968489,2062,83,53,2090
50,3.704346,0.058164,9.202429,0.000545,0.997914,0.997820,0.973260,0.984149,0.978674,2085,58,34,2111
51,3.630838,0.080245,8.996813,0.000072,0.997510,0.997436,0.974134,0.982301,0.978200,2085,56,38,2109
52,3.659746,0.145648,9.003657,0.000120,0.997197,0.997033,0.969641,0.983209,0.976378,2078,66,36,2108
53,3.609869,0.020839,9.003671,0.000324,0.998648,0.998601,0.981928,0.988801,0.985352,2106,39,24,2119
54,3.629712,0.094038,8.980219,0.000046,0.998493,0.998481,0.977788,0.984623,0.981193,2094,48,33,2113
55,3.588981,0.053499,8.918844,0.000217,0.998736,0.998633,0.980574,0.988806,0.984673,2102,42,24,2120
56,3.564773,0.007443,8.904389,0.000199,0.999094,0.999077,0.981961,0.990667,0.986295,2106,39,20,2123
