epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,1.536771,0.210698,6.911733,0.187141,0.812477,0.803599,0.713004,0.741259,0.726857,1503,640,555,1590
2,1.454634,0.367369,6.774555,0.043748,0.929449,0.923713,0.842391,0.867942,0.854976,1797,348,283,1860
3,1.402992,0.100942,6.841554,0.024154,0.939011,0.936014,0.855844,0.879028,0.867281,1830,317,259,1882
4,1.421456,0.205945,6.865151,0.012062,0.945891,0.942809,0.864902,0.884687,0.874683,1850,296,247,1895
5,1.434557,0.236266,6.915016,0.007168,0.951003,0.949076,0.864399,0.888164,0.876120,1843,299,240,1906
6,1.394120,0.139894,6.808361,0.007448,0.952278,0.950491,0.865672,0.893140,0.879192,1848,297,229,1914
7,1.405486,0.265924,6.750390,0.003704,0.955575,0.953000,0.875114,0.897196,0.886018,1874,274,220,1920
8,1.390081,0.347841,6.590661,0.003967,0.955754,0.954086,0.875793,0.900280,0.887868,1868,274,214,1932
9,1.383957,0.197986,6.707433,0.004789,0.958688,0.956176,0.873258,0.905828,0.889245,1861,282,202,1943
10,1.378398,0.138243,6.745677,0.002690,0.961001,0.958928,0.875899,0.909006,0.892146,1869,276,195,1948
11,1.376686,0.200431,6.655570,0.009142,0.962503,0.959921,0.875000,0.913327,0.893753,1862,280,186,1960
12,1.325506,0.120981,6.499414,0.002378,0.964481,0.961802,0.883065,0.918453,0.900411,1881,261,175,1971
13,1.345723,0.125022,6.600049,0.001181,0.967381,0.964812,0.891040,0.923041,0.906758,1902,242,165,1979
14,1.334258,0.054668,6.607646,0.002992,0.968436,0.965639,0.899368,0.928272,0.913592,1918,223,154,1993
15,1.382811,0.285376,6.620143,0.002845,0.971131,0.968306,0.897436,0.930070,0.913462,1915,228,150,1995
16,1.351718,0.114746,6.640676,0.001056,0.971906,0.968892,0.902286,0.938899,0.920229,1926,218,131,2013
17,1.333589,0.028886,6.636729,0.000777,0.973526,0.970623,0.904079,0.940765,0.922057,1930,214,127,2017
18,1.369192,0.193641,6.645936,0.002128,0.974906,0.972259,0.904336,0.943124,0.923323,1929,214,122,2023
19,1.352069,0.221638,6.535741,0.000989,0.974803,0.971414,0.904189,0.945480,0.924374,1927,215,117,2029
20,1.352725,0.253428,6.508272,0.000642,0.977976,0.975592,0.910971,0.945404,0.927868,1947,198,117,2026
21,1.290165,0.050157,6.398109,0.000852,0.979172,0.977123,0.916065,0.945946,0.930766,1956,186,116,2030
22,1.412441,0.456027,6.602381,0.001265,0.979841,0.977269,0.914865,0.946853,0.930584,1954,189,114,2031
23,1.337234,0.135686,6.548089,0.000798,0.981347,0.978677,0.920542,0.951026,0.935536,1968,176,105,2039
24,1.313923,0.082966,6.484949,0.000567,0.981871,0.978692,0.920756,0.952936,0.936570,1966,176,101,2045
25,1.291839,0.053163,6.398614,0.002473,0.982443,0.980499,0.922869,0.954736,0.938532,1974,171,97,2046
26,1.308329,0.111414,6.426391,0.001279,0.982872,0.980426,0.921903,0.958022,0.939616,1970,174,90,2054
27,1.332012,0.079708,6.579031,0.000440,0.982736,0.980791,0.924955,0.954736,0.939610,1979,166,97,2046
28,1.340221,0.137226,6.561923,0.000652,0.983489,0.981812,0.921622,0.953846,0.937457,1969,174,99,2046
29,1.368711,0.323979,6.515628,0.001315,0.983360,0.981360,0.925407,0.954757,0.939853,1979,165,97,2047
30,1.360415,0.162801,6.638142,0.000378,0.984288,0.982578,0.925642,0.958022,0.941554,1979,165,90,2054
31,1.356979,0.221615,6.562392,0.000295,0.985869,0.984231,0.929603,0.960373,0.944737,1987,156,85,2060
32,1.332857,0.106805,6.556108,0.000457,0.984752,0.982838,0.925709,0.958955,0.942039,1979,165,88,2056
33,1.295422,0.021109,6.451725,0.001426,0.986829,0.985469,0.928733,0.963050,0.945580,1992,158,79,2059
34,1.298156,0.041002,6.449221,0.000187,0.986428,0.984461,0.929666,0.962203,0.945655,1989,156,81,2062
35,1.307646,0.057624,6.478191,0.000805,0.986860,0.985029,0.934842,0.963170,0.948794,1999,144,79,2066
36,1.300656,0.070511,6.431450,0.000440,0.987496,0.985875,0.933544,0.963153,0.948118,1997,147,79,2065
37,1.321064,0.084779,6.519601,0.000314,0.987379,0.985691,0.934635,0.961251,0.947756,2002,144,83,2059
38,1.306765,0.102041,6.430552,0.000410,0.988383,0.986933,0.936732,0.961233,0.948824,2008,139,83,2058
39,1.321785,0.320628,6.287475,0.000275,0.988209,0.986660,0.936257,0.966853,0.951309,2005,141,71,2071
40,1.328277,0.193783,6.445763,0.000613,0.988410,0.986999,0.936961,0.963619,0.950103,2005,139,78,2066
41,1.345333,0.343217,6.382538,0.000302,0.989519,0.988162,0.942299,0.967351,0.954661,2017,127,70,2074
42,1.308966,0.220419,6.323580,0.000276,0.989915,0.988802,0.941043,0.967817,0.954242,2014,130,69,2075
43,1.303289,0.079046,6.434253,0.001048,0.990336,0.988974,0.940590,0.968706,0.954441,2016,131,67,2074
44,1.276527,0.142711,6.236339,0.001195,0.989541,0.988111,0.940536,0.967320,0.953740,2015,131,70,2072
45,1.290993,0.038615,6.414492,0.000620,0.990707,0.989840,0.938121,0.968750,0.953190,2007,137,67,2077
46,1.292913,0.012266,6.449835,0.000821,0.990188,0.988836,0.943336,0.971522,0.957222,2021,125,61,2081
47,1.324869,0.108012,6.515581,0.000251,0.991399,0.990603,0.942883,0.969697,0.956102,2017,126,65,2080
48,1.304149,0.025112,6.491752,0.001294,0.991235,0.990170,0.945750,0.975746,0.960514,2024,120,52,2092
49,1.290800,0.061023,6.392035,0.000315,0.991811,0.990961,0.944319,0.972041,0.957979,2019,123,60,2086
50,1.268656,0.083595,6.258908,0.000259,0.991602,0.990918,0.945504,0.971535,0.958343,2025,120,61,2082
51,1.337343,0.315107,6.370607,0.000333,0.991783,0.990960,0.946315,0.969697,0.957863,2025,118,65,2080
52,1.304110,0.067818,6.451322,0.000470,0.991805,0.990883,0.945000,0.969683,0.957182,2023,121,65,2079
53,1.288867,0.013855,6.429510,0.000322,0.992340,0.991537,0.946939,0.973427,0.960000,2026,117,57,2088
54,1.284307,0.007830,6.413099,0.000201,0.992990,0.992140,0.950251,0.971535,0.960775,2036,109,61,2082
55,1.309172,0.169429,6.373012,0.001140,0.992074,0.991350,0.944621,0.971976,0.958103,2025,122,60,2081
56,1.262244,0.041298,6.267328,0.000865,0.993397,0.992824,0.945677,0.974802,0.960018,2025,120,54,2089
57,1.319759,0.135998,6.462243,0.000186,0.992900,0.992095,0.949637,0.975303,0.962299,2031,111,53,2093
58,1.290420,0.013918,6.436497,0.000562,0.993268,0.992959,0.948765,0.967351,0.957968,2032,112,70,2074
59,1.283106,0.017861,6.396897,0.000256,0.994037,0.993529,0.953382,0.974766,0.963956,2046,102,54,2086
60,1.304402,0.044763,6.476675,0.000190,0.994546,0.994173,0.954254,0.973856,0.963956,2046,100,56,2086
61,1.303186,0.125777,6.389539,0.000205,0.993518,0.992978,0.948636,0.972960,0.960644,2030,113,58,2087
62,1.304213,0.145234,6.374251,0.000526,0.994186,0.993686,0.954380,0.975291,0.964722,2043,100,53,2092
63,1.293543,0.063688,6.403515,0.000170,0.993615,0.992995,0.955251,0.975746,0.965390,2046,98,52,2092
64,1.320587,0.176494,6.425636,0.000268,0.994394,0.994169,0.951364,0.976668,0.963850,2038,107,50,2093
