epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.715292,0.325902,8.947009,0.030636,0.877656,0.875750,0.769024,0.800559,0.784475,1626,516,428,1718
2,3.612680,0.338021,8.691814,0.003730,0.946465,0.943121,0.860570,0.887074,0.873621,1837,308,242,1901
3,3.579805,0.248773,8.699764,0.001952,0.954776,0.950894,0.875686,0.894909,0.885193,1875,272,225,1916
4,3.598763,0.306389,8.688903,0.003231,0.960945,0.958305,0.879584,0.906673,0.892923,1879,266,200,1943
5,3.538254,0.162179,8.682908,0.001098,0.961765,0.959041,0.877643,0.910406,0.893724,1873,272,192,1951
6,3.631753,0.266645,8.811218,0.003039,0.964254,0.961040,0.882511,0.917483,0.899657,1881,262,177,1968
7,3.550766,0.170761,8.705079,0.002152,0.967550,0.965257,0.884323,0.923077,0.903285,1884,259,165,1980
8,3.603579,0.244901,8.763444,0.001203,0.968113,0.966917,0.876505,0.917406,0.896489,1868,277,177,1966
9,3.621155,0.185047,8.866651,0.002378,0.969497,0.967710,0.883289,0.931903,0.906945,1880,264,146,1998
10,3.618662,0.269724,8.776576,0.000709,0.969216,0.968513,0.881266,0.934701,0.907198,1874,270,140,2004
