epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.599977,0.401476,7.977219,0.063686,0.886384,0.878995,0.782310,0.796547,0.789364,1670,475,436,1707
2,4.528564,0.396431,7.891295,0.019916,0.943115,0.936864,0.856500,0.888474,0.872194,1826,319,239,1904
3,5.203095,0.701465,8.244016,0.706454,0.463730,0.459525,0.479518,0.463437,0.471341,1061,1080,1152,995
4,5.230009,0.692497,8.304612,0.701696,0.495159,0.497445,0.495908,0.480410,0.488036,1097,1047,1114,1030
5,5.231813,0.692304,8.306140,0.703799,0.493090,0.496358,0.490709,0.541725,0.514957,937,1206,983,1162
6,5.205842,0.689476,8.261103,0.703942,0.501374,0.497430,0.498350,0.493004,0.495662,1080,1064,1087,1057
7,5.216632,0.680371,8.281590,0.711181,0.493117,0.490158,0.492537,0.461754,0.476649,1124,1020,1154,990
8,5.231527,0.706210,8.301136,0.696215,0.494559,0.490073,0.498610,0.501866,0.500232,1062,1082,1068,1076
9,5.254292,0.706910,8.325003,0.714863,0.493086,0.495728,0.492567,0.464486,0.478114,1124,1024,1146,994
10,5.208782,0.693127,8.278418,0.687492,0.478772,0.484599,0.482088,0.439571,0.459849,1133,1012,1201,942
