epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.732302,0.473811,8.077635,0.152774,0.827706,0.821776,0.734852,0.752683,0.743661,1563,582,530,1613
2,4.490442,0.273129,7.903344,0.041390,0.939005,0.930542,0.857592,0.890392,0.873684,1827,317,235,1909
3,5.296281,0.700137,8.405475,0.716416,0.465253,0.462567,0.483161,0.501398,0.492111,991,1151,1070,1076
4,5.251471,0.707583,8.331357,0.701624,0.486811,0.492412,0.484057,0.510033,0.496705,980,1165,1050,1093
5,5.233240,0.695230,8.313501,0.695922,0.497876,0.498600,0.495422,0.479925,0.487550,1099,1047,1114,1028
6,5.224893,0.693172,8.307900,0.687239,0.503561,0.499802,0.503719,0.568298,0.534064,942,1201,926,1219
7,5.223429,0.695856,8.307441,0.682402,0.504981,0.506191,0.504892,0.481343,0.492837,1132,1012,1112,1032
8,5.220016,0.690749,8.312061,0.675091,0.519644,0.512289,0.516712,0.534330,0.525373,1077,1070,997,1144
9,5.212046,0.683560,8.314171,0.663300,0.521467,0.520640,0.518939,0.638993,0.572742,874,1270,774,1370
10,5.188406,0.624571,8.314808,0.668410,0.586865,0.558864,0.558998,0.613414,0.584943,1102,1039,830,1317
