epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.621094,0.296393,8.052234,0.117978,0.869664,0.862233,0.765297,0.816698,0.790162,1607,537,393,1751
2,4.553658,0.396612,7.933617,0.023385,0.936920,0.936711,0.854032,0.860009,0.857010,1830,315,300,1843
3,5.207760,0.697778,8.240609,0.722850,0.482735,0.480303,0.479339,0.541550,0.508549,886,1260,982,1160
4,5.215609,0.726573,8.250543,0.701705,0.496652,0.495462,0.503194,0.477167,0.489835,1131,1011,1122,1024
5,5.234270,0.692522,8.316133,0.697523,0.498451,0.495888,0.495717,0.431903,0.461615,1202,942,1218,926
6,5.227954,0.691843,8.306497,0.696102,0.491253,0.489581,0.496171,0.573358,0.531979,891,1250,916,1231
7,5.226530,0.698682,8.299165,0.695165,0.498916,0.498643,0.503182,0.663403,0.572290,738,1405,722,1423
8,5.225731,0.696316,8.297210,0.697847,0.493040,0.488734,0.496923,0.602612,0.544688,836,1308,852,1292
9,5.234704,0.694858,8.309306,0.703798,0.483297,0.492039,0.493941,0.475502,0.484546,1101,1044,1124,1019
10,5.234276,0.693249,8.311007,0.702519,0.493515,0.495252,0.493358,0.502566,0.497920,1039,1106,1066,1077
