epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.702348,0.494973,8.096003,0.053617,0.817329,0.817944,0.719437,0.763060,0.740607,1506,638,508,1636
2,4.525286,0.261671,7.990921,0.025054,0.917390,0.914315,0.831157,0.831157,0.831157,1782,362,362,1782
3,5.260389,0.727321,8.290635,0.746492,0.449680,0.463467,0.464680,0.451026,0.457751,1030,1114,1177,967
4,5.239550,0.697963,8.309196,0.710816,0.490848,0.490933,0.490423,0.453825,0.471415,1133,1011,1171,973
5,5.234946,0.694423,8.309448,0.704518,0.494203,0.491399,0.494648,0.517499,0.505815,1012,1133,1034,1109
6,5.234326,0.692035,8.313661,0.700793,0.489098,0.492091,0.496324,0.629077,0.554871,772,1370,796,1350
7,5.243336,0.709288,8.311721,0.705421,0.492398,0.491251,0.487418,0.415578,0.448640,1207,937,1253,891
8,5.234070,0.693730,8.314535,0.697794,0.488888,0.490626,0.500406,0.574359,0.534838,913,1230,913,1232
9,5.232018,0.689130,8.316343,0.695840,0.480727,0.482916,0.489446,0.519608,0.504076,985,1161,1029,1113
10,5.228552,0.696169,8.317667,0.681118,0.476082,0.485205,0.480496,0.379198,0.423879,1265,879,1331,813
