epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.736219,0.486903,8.083524,0.142348,0.843477,0.838880,0.759886,0.744284,0.752004,1641,504,548,1595
2,4.529801,0.301103,7.956773,0.036159,0.946083,0.934888,0.869448,0.903918,0.886348,1853,291,206,1938
3,5.220766,0.695616,8.277247,0.710505,0.463957,0.459279,0.487713,0.601118,0.538510,787,1355,856,1290
4,5.235785,0.714120,8.306182,0.692061,0.493671,0.498957,0.500948,0.493234,0.497061,1092,1053,1086,1057
5,5.219943,0.694348,8.307843,0.676344,0.499940,0.499446,0.499768,0.502801,0.501280,1068,1078,1065,1077
6,5.199553,0.688703,8.310698,0.637504,0.519391,0.514177,0.510855,0.537529,0.523853,1039,1104,992,1153
7,5.179159,0.683436,8.307653,0.604806,0.571540,0.546086,0.545202,0.548507,0.546850,1163,981,968,1176
8,5.097088,0.574600,8.289252,0.558859,0.693155,0.657383,0.625641,0.740775,0.678358,1198,949,555,1586
9,5.053932,0.428034,8.304129,0.588092,0.820912,0.807445,0.721886,0.778451,0.749102,1501,643,475,1669
10,4.976413,0.332363,8.313577,0.508766,0.874259,0.856955,0.780436,0.850955,0.814171,1627,514,320,1827
