threshold,f1_cal
0.350000,0.917279
0.360000,0.916283
0.370000,0.916974
0.380000,0.917669
0.390000,0.919370
0.400000,0.919370
0.410000,0.919220
0.420000,0.919070
0.430000,0.918063
0.440000,0.918768
0.450000,0.919626
0.460000,0.919476
0.470000,0.920188
0.480000,0.921053
0.490000,0.920755
0.500000,0.921476
0.510000,0.921327
0.520000,0.920304
0.530000,0.921178
0.540000,0.921178
0.550000,0.917939
0.560000,0.912584
0.570000,0.911538
0.580000,0.909266
0.590000,0.908035
0.600000,0.908035
0.610000,0.905917
0.620000,0.905550
0.630000,0.902153
0.640000,0.900000
0.650000,0.897638
