threshold,f1
0.350000,0.919070
0.360000,0.918063
0.370000,0.917910
0.380000,0.918768
0.390000,0.918768
0.400000,0.919626
0.410000,0.918616
0.420000,0.919476
0.430000,0.920337
0.440000,0.920188
0.450000,0.921053
0.460000,0.921919
0.470000,0.921919
0.480000,0.920755
0.490000,0.921476
0.500000,0.921476
0.510000,0.921327
0.520000,0.921327
0.530000,0.921327
0.540000,0.920304
0.550000,0.920304
0.560000,0.921178
0.570000,0.921178
0.580000,0.921178
0.590000,0.921028
0.600000,0.917939
0.610000,0.914833
0.620000,0.914669
0.630000,0.912584
0.640000,0.911538
0.650000,0.910491
