threshold,f1
0.350000,0.920930
0.360000,0.920930
0.370000,0.920930
0.380000,0.922647
0.390000,0.921642
0.400000,0.921495
0.410000,0.921495
0.420000,0.922357
0.430000,0.923221
0.440000,0.923077
0.450000,0.922066
0.460000,0.922932
0.470000,0.922787
0.480000,0.922787
0.490000,0.923657
0.500000,0.923657
0.510000,0.924528
0.520000,0.925401
0.530000,0.925260
0.540000,0.924242
0.550000,0.925118
0.560000,0.925118
0.570000,0.925996
0.580000,0.924976
0.590000,0.923954
0.600000,0.923954
0.610000,0.924833
0.620000,0.924833
0.630000,0.923810
0.640000,0.923664
0.650000,0.923664
