threshold,f1_cal
0.350000,0.918423
0.360000,0.918423
0.370000,0.920956
0.380000,0.920956
0.390000,0.921803
0.400000,0.921659
0.410000,0.920518
0.420000,0.918519
0.430000,0.920223
0.440000,0.920930
0.450000,0.921788
0.460000,0.921495
0.470000,0.922357
0.480000,0.922066
0.490000,0.922787
0.500000,0.923657
0.510000,0.925260
0.520000,0.925118
0.530000,0.924976
0.540000,0.923954
0.550000,0.923810
0.560000,0.923664
0.570000,0.922636
0.580000,0.922488
0.590000,0.924855
0.600000,0.923819
0.610000,0.922780
0.620000,0.920696
0.630000,0.919496
0.640000,0.917396
0.650000,0.916342
