epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.031793,0.515882,6.931428,0.641373,0.782979,0.774127,0.685663,0.719290,0.702074,1441,706,601,1540
2,3.841516,0.289524,6.931714,0.504862,0.922423,0.917587,0.844101,0.840559,0.842327,1810,333,342,1803
3,3.845756,0.427947,6.930998,0.308721,0.945372,0.940805,0.870577,0.870577,0.870577,1862,278,278,1870
4,3.613831,0.148040,6.931345,0.148337,0.947565,0.944903,0.874942,0.874534,0.874738,1876,268,269,1875
5,3.765507,0.437088,6.929488,0.096275,0.949946,0.947745,0.874360,0.877218,0.875787,1876,270,263,1879
6,3.664945,0.284798,6.924557,0.079467,0.955463,0.953246,0.878309,0.881585,0.879944,1881,262,254,1891
7,3.615333,0.232852,6.914334,0.046137,0.956696,0.953646,0.878372,0.897244,0.887708,1881,266,220,1921
8,3.590735,0.230269,6.877523,0.034532,0.958872,0.957248,0.879507,0.898368,0.888838,1879,264,218,1927
9,3.556503,0.272764,6.760017,0.032089,0.959497,0.957366,0.885780,0.899814,0.892742,1893,249,215,1931
10,3.663892,0.327121,6.910115,0.031403,0.957049,0.956551,0.871597,0.895154,0.883218,1859,283,225,1921
