epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,3.981239,0.439941,6.931506,0.628802,0.777559,0.764980,0.690129,0.773215,0.729313,1401,744,486,1657
2,3.843428,0.271004,6.932125,0.536907,0.923556,0.919321,0.845395,0.839086,0.842228,1815,329,345,1799
3,3.776117,0.242389,6.931041,0.412907,0.944442,0.943353,0.870154,0.869748,0.869951,1868,278,279,1863
4,3.694884,0.210234,6.929840,0.259560,0.947843,0.945756,0.871422,0.866138,0.868772,1870,274,287,1857
5,3.722564,0.331834,6.923700,0.154035,0.951525,0.950871,0.876221,0.877446,0.876834,1876,266,263,1883
6,3.627888,0.236141,6.894990,0.096772,0.956135,0.954876,0.884795,0.883970,0.884382,1895,247,249,1897
7,3.600093,0.277837,6.815988,0.063493,0.958179,0.956372,0.882653,0.888007,0.885322,1892,253,240,1903
8,3.619740,0.384414,6.741810,0.045467,0.959513,0.958453,0.890756,0.889096,0.889925,1908,234,238,1908
9,3.485337,0.246460,6.648118,0.033505,0.960338,0.959588,0.880570,0.894540,0.887500,1885,260,226,1917
10,3.588547,0.245475,6.858555,0.029961,0.958995,0.958343,0.882820,0.882408,0.882614,1894,251,252,1891
