epoch,loss_train,task_loss,cont_loss,adv_loss,auroc,auprc,precision,recall,f1,tn,fp,fn,tp
1,4.714268,0.438269,8.075602,0.150933,0.818601,0.814008,0.733520,0.732151,0.732835,1575,570,574,1569
2,4.493842,0.271186,7.909637,0.043015,0.939491,0.933473,0.856885,0.885261,0.870842,1827,317,246,1898
3,5.254317,0.696357,8.326693,0.722550,0.454609,0.455947,0.473520,0.495806,0.484407,959,1183,1082,1064
4,5.242926,0.714848,8.311502,0.699837,0.491404,0.496287,0.496004,0.492301,0.494145,1073,1072,1088,1055
5,5.237594,0.696545,8.312581,0.704457,0.499438,0.499654,0.500903,0.518207,0.509408,1040,1106,1032,1110
6,5.230354,0.693215,8.310500,0.695265,0.502876,0.501335,0.502820,0.581818,0.539442,909,1234,897,1248
7,5.231926,0.697937,8.313413,0.690956,0.499676,0.503527,0.499275,0.481810,0.490387,1108,1036,1111,1033
8,5.230713,0.692421,8.314686,0.692093,0.501176,0.497471,0.498650,0.517515,0.507907,1033,1114,1033,1108
9,5.223761,0.693809,8.313647,0.678081,0.485403,0.488508,0.494822,0.624067,0.551980,778,1366,806,1338
10,5.222851,0.691099,8.314016,0.678295,0.500823,0.501646,0.500782,0.447601,0.472700,1183,958,1186,961
